交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2019/05/02,TX,201905  ,10947,11033,10933,10978,26,0.24%,110504,10978,97169,10978,10979,11061,10140,,一般,,
2019/05/02,TX,201905  ,10952,10970,10926,10965,13,0.12%,25803,-,-,10963,10966,11061,10140,,盤後,,
2019/05/02,TX,201906  ,10936,11026,10926,10974,27,0.25%,2067,10974,8043,10973,10975,11051,9209,,一般,,
2019/05/02,TX,201906  ,10945,10963,10921,10957,10,0.09%,314,-,-,10956,10961,11051,9209,,盤後,,
2019/05/02,TX,201907  ,10730,10820,10730,10770,24,0.22%,178,10770,366,10768,10772,10833,10680,,一般,,
2019/05/02,TX,201907  ,10740,10759,10722,10756,10,0.09%,26,-,-,10754,10761,10833,10680,,盤後,,
2019/05/02,TX,201909  ,10565,10638,10551,10586,21,0.20%,35,10586,971,10587,10590,10649,8817,,一般,,
2019/05/02,TX,201909  ,10557,10565,10536,10565,0,0.00%,16,-,-,10572,10578,10649,8817,,盤後,,
2019/05/02,TX,201912  ,10512,10600,10503,10548,28,0.27%,68,10548,415,10548,10552,10609,8770,,一般,,
2019/05/02,TX,201912  ,10519,10533,10517,10533,13,0.12%,11,-,-,10533,10539,10609,8770,,盤後,,
2019/05/02,TX,202003  ,10496,10550,10492,10492,19,0.18%,34,10501,192,10500,10503,10563,9900,,一般,,
2019/05/02,TX,202003  ,10469,10485,10467,10485,12,0.11%,8,-,-,10483,10490,10563,9900,,盤後,,
2019/05/03,TX,201905  ,10992,11094,10975,11092,114,1.04%,105128,11092,102277,11092,11094,11094,10140,,一般,,
2019/05/03,TX,201905  ,10985,10996,10943,10976,-2,-0.02%,35558,-,-,10975,10976,11061,10140,,盤後,,
2019/05/03,TX,201906  ,10983,11088,10971,11087,113,1.03%,3323,11087,8914,11086,11088,11088,9209,,一般,,
2019/05/03,TX,201906  ,10978,10990,10940,10973,-1,-0.01%,565,-,-,10969,10972,11051,9209,,盤後,,
2019/05/03,TX,201907  ,10780,10884,10777,10884,114,1.06%,203,10884,402,10883,10887,10884,10680,,一般,,
2019/05/03,TX,201907  ,10783,10788,10750,10756,-14,-0.13%,59,-,-,10768,10772,10833,10680,,盤後,,
2019/05/03,TX,201909  ,10591,10700,10589,10700,114,1.08%,194,10700,914,10703,10708,10700,8817,,一般,,
2019/05/03,TX,201909  ,10598,10602,10564,10574,-12,-0.11%,10,-,-,10585,10590,10649,8817,,盤後,,
2019/05/03,TX,201912  ,10561,10664,10551,10664,116,1.10%,137,10664,410,10663,10668,10664,8770,,一般,,
2019/05/03,TX,201912  ,-,-,-,-,-,-,0,-,-,10546,10549,10609,8770,,盤後,,
2019/05/03,TX,202003  ,10515,10611,10515,10611,110,1.05%,50,10611,183,10612,10616,10611,9900,,一般,,
2019/05/03,TX,202003  ,10510,10516,10468,10495,-6,-0.06%,10,-,-,10498,10502,10563,9900,,盤後,,
2019/05/06,TX,201905  ,10980,10980,10821,10857,-235,-2.12%,157627,10860,94216,10857,10859,11138,10140,,一般,,
2019/05/06,TX,201905  ,11093,11138,11089,11132,40,0.36%,25512,-,-,11130,11133,11138,10140,,盤後,,
2019/05/06,TX,201906  ,10990,10990,10815,10854,-233,-2.10%,3927,10855,9140,10851,10855,11132,9209,,一般,,
2019/05/06,TX,201906  ,11087,11132,11085,11128,41,0.37%,781,-,-,11124,11129,11132,9209,,盤後,,
2019/05/06,TX,201907  ,10783,10783,10622,10654,-230,-2.11%,308,10654,524,10649,10655,10928,10622,,一般,,
2019/05/06,TX,201907  ,10884,10928,10884,10924,40,0.37%,57,-,-,10921,10927,10928,10680,,盤後,,
2019/05/06,TX,201909  ,10600,10600,10439,10478,-222,-2.07%,273,10478,988,10470,10475,10741,8817,,一般,,
2019/05/06,TX,201909  ,10725,10741,10720,10739,39,0.36%,13,-,-,10741,10746,10741,8817,,盤後,,
2019/05/06,TX,201912  ,10546,10550,10400,10438,-226,-2.12%,92,10438,411,10431,10436,10710,8770,,一般,,
2019/05/06,TX,201912  ,10689,10710,10680,10710,46,0.43%,16,-,-,10701,10707,10710,8770,,盤後,,
2019/05/06,TX,202003  ,10485,10485,10350,10393,-218,-2.05%,68,10393,212,10385,10388,10652,9900,,一般,,
2019/05/06,TX,202003  ,10638,10652,10627,10650,39,0.37%,34,-,-,10650,10656,10652,9900,,盤後,,
2019/05/07,TX,201905  ,10900,10996,10900,10970,110,1.01%,112695,10971,94915,10970,10971,11138,10140,,一般,,
2019/05/07,TX,201905  ,10849,10936,10841,10930,70,0.64%,39916,-,-,10928,10930,11138,10140,,盤後,,
2019/05/07,TX,201906  ,10900,10989,10895,10965,110,1.01%,2974,10965,11029,10963,10965,11132,9209,,一般,,
2019/05/07,TX,201906  ,10844,10928,10836,10922,67,0.62%,1069,-,-,10921,10925,11132,9209,,盤後,,
2019/05/07,TX,201907  ,10700,10783,10700,10755,101,0.95%,130,10755,580,10755,10757,10928,10622,,一般,,
2019/05/07,TX,201907  ,10643,10724,10639,10721,67,0.63%,76,-,-,10718,10724,10928,10622,,盤後,,
2019/05/07,TX,201909  ,10506,10599,10506,10582,104,0.99%,88,10582,1011,10578,10581,10741,8817,,一般,,
2019/05/07,TX,201909  ,10456,10546,10456,10546,68,0.65%,23,-,-,10540,10545,10741,8817,,盤後,,
2019/05/07,TX,201912  ,10478,10567,10478,10547,109,1.04%,71,10547,404,10542,10544,10710,8770,,一般,,
2019/05/07,TX,201912  ,10439,10505,10439,10505,67,0.64%,5,-,-,10502,10506,10710,8770,,盤後,,
2019/05/07,TX,202003  ,10428,10512,10428,10489,96,0.92%,52,10489,211,10490,10495,10652,9900,,一般,,
2019/05/07,TX,202003  ,10373,10458,10373,10456,63,0.61%,21,-,-,10452,10457,10652,9900,,盤後,,
2019/05/08,TX,201905  ,10849,10943,10841,10893,-78,-0.71%,122471,10893,92659,10893,10895,11138,10140,,一般,,
2019/05/08,TX,201905  ,10992,10995,10824,10871,-100,-0.91%,66800,-,-,10870,10871,11138,10140,,盤後,,
2019/05/08,TX,201906  ,10826,10935,10826,10887,-78,-0.71%,3737,10887,11875,10887,10889,11132,9209,,一般,,
2019/05/08,TX,201906  ,10983,10985,10819,10869,-96,-0.88%,1888,-,-,10862,10865,11132,9209,,盤後,,
2019/05/08,TX,201907  ,10631,10723,10631,10678,-77,-0.72%,191,10678,670,10676,10679,10928,10613,,一般,,
2019/05/08,TX,201907  ,10781,10781,10613,10659,-96,-0.89%,169,-,-,10654,10658,10928,10613,,盤後,,
2019/05/08,TX,201909  ,10454,10546,10454,10502,-80,-0.76%,99,10502,1041,10499,10503,10741,8817,,一般,,
2019/05/08,TX,201909  ,10608,10608,10444,10485,-97,-0.92%,34,-,-,10480,10485,10741,8817,,盤後,,
2019/05/08,TX,201912  ,10400,10507,10400,10463,-84,-0.80%,121,10463,385,10458,10464,10710,8770,,一般,,
2019/05/08,TX,201912  ,10565,10565,10470,10470,-77,-0.73%,12,-,-,10442,10446,10710,8770,,盤後,,
2019/05/08,TX,202003  ,10367,10452,10367,10422,-67,-0.64%,28,10408,219,10403,10408,10652,9900,,一般,,
2019/05/08,TX,202003  ,10511,10511,10350,10350,-139,-1.33%,24,-,-,10392,10397,10652,9900,,盤後,,
2019/05/09,TX,201905  ,10854,10866,10716,10746,-147,-1.35%,163378,10747,94710,10747,10748,11138,10140,,一般,,
2019/05/09,TX,201905  ,10894,10921,10858,10882,-11,-0.10%,55198,-,-,10882,10884,11138,10140,,盤後,,
2019/05/09,TX,201906  ,10852,10860,10713,10742,-145,-1.33%,8808,10743,14327,10742,10745,11132,9209,,一般,,
2019/05/09,TX,201906  ,10887,10915,10852,10875,-12,-0.11%,1450,-,-,10874,10878,11132,9209,,盤後,,
2019/05/09,TX,201907  ,10645,10648,10501,10538,-140,-1.31%,311,10538,843,10530,10532,10928,10501,,一般,,
2019/05/09,TX,201907  ,10701,10701,10645,10660,-18,-0.17%,89,-,-,10664,10669,10928,10613,,盤後,,
2019/05/09,TX,201909  ,10430,10460,10325,10350,-152,-1.45%,306,10350,1104,10351,10355,10741,8817,,一般,,
2019/05/09,TX,201909  ,10519,10520,10475,10486,-16,-0.15%,8,-,-,10486,10491,10741,8817,,盤後,,
2019/05/09,TX,201912  ,10401,10416,10287,10316,-147,-1.40%,105,10316,380,10313,10317,10710,8770,,一般,,
2019/05/09,TX,201912  ,10442,10457,10436,10457,-6,-0.06%,13,-,-,10447,10451,10710,8770,,盤後,,
2019/05/09,TX,202003  ,10350,10365,10250,10255,-153,-1.47%,56,10265,241,10262,10268,10652,9900,,一般,,
2019/05/09,TX,202003  ,10415,10415,10395,10395,-13,-0.12%,21,-,-,10391,10401,10652,9900,,盤後,,
2019/05/10,TX,201905  ,10750,10850,10646,10745,-2,-0.02%,244648,10744,79542,10743,10745,11138,10140,,一般,,
2019/05/10,TX,201905  ,10729,10733,10595,10695,-52,-0.48%,90965,-,-,10694,10695,11138,10140,,盤後,,
2019/05/10,TX,201906  ,10760,10845,10648,10743,0,0.00%,25251,10744,29751,10743,10746,11132,9209,,一般,,
2019/05/10,TX,201906  ,10734,10734,10591,10691,-52,-0.48%,3487,-,-,10689,10691,11132,9209,,盤後,,
2019/05/10,TX,201907  ,10540,10632,10438,10534,-4,-0.04%,461,10534,1192,10529,10533,10928,10388,,一般,,
2019/05/10,TX,201907  ,10511,10515,10388,10483,-55,-0.52%,177,-,-,10480,10482,10928,10388,,盤後,,
