交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/05/04,TX,202605  ,40440,41074,40167,41031,1689,4.29%,63214,41056,82619,41031,41037,41074,31357,,一般,,
2026/05/04,TX,202605  ,39378,40234,39376,40103,761,1.93%,56389,-,-,40100,40115,40458,31357,,盤後,,
2026/05/04,TX,202606  ,40480,41162,40250,41126,1708,4.33%,1429,41138,4653,41122,41132,41162,20819,,一般,,
2026/05/04,TX,202606  ,39469,40302,39469,40163,745,1.89%,603,-,-,40170,40191,40521,20819,,盤後,,
2026/05/04,TX,202607  ,40398,41030,40278,41030,1610,4.08%,57,41082,142,41078,41087,41030,36972,,一般,,
2026/05/04,TX,202607  ,39535,40250,39535,40000,580,1.47%,45,-,-,40128,40151,40460,36972,,盤後,,
2026/05/04,TX,202609  ,40500,41100,40398,41088,1588,4.02%,33,41177,582,41172,41183,41100,24962,,一般,,
2026/05/04,TX,202609  ,39638,40199,39638,40199,699,1.77%,6,-,-,40225,40246,40580,24962,,盤後,,
2026/05/04,TX,202612  ,40718,41409,40631,41402,1581,3.97%,35,41454,259,41447,41461,41409,27382,,一般,,
2026/05/04,TX,202612  ,40304,40554,40168,40529,708,1.78%,12,-,-,40500,40553,40892,27382,,盤後,,
2026/05/04,TX,202703  ,-,-,-,-,-,-,0,41831,113,41786,41877,41515,32400,,一般,,
2026/05/04,TX,202703  ,40840,40865,40838,40862,662,1.65%,8,-,-,40830,40955,41515,32400,,盤後,,
2026/05/05,TX,202605  ,40936,41097,40798,41035,-21,-0.05%,41739,41034,83828,41032,41042,41185,31357,,一般,,
2026/05/05,TX,202605  ,40995,41185,40541,40788,-268,-0.65%,58129,-,-,40788,40797,41185,31357,,盤後,,
2026/05/05,TX,202606  ,41046,41188,40900,41133,-5,-0.01%,444,41128,4707,41126,41139,41270,20819,,一般,,
2026/05/05,TX,202606  ,41010,41270,40654,40850,-288,-0.70%,568,-,-,40885,40898,41270,20819,,盤後,,
2026/05/05,TX,202607  ,40934,41074,40913,41031,-51,-0.12%,16,41090,131,41084,41097,41113,36972,,一般,,
2026/05/05,TX,202607  ,41113,41113,40620,40754,-328,-0.80%,37,-,-,40843,40857,41113,36972,,盤後,,
2026/05/05,TX,202609  ,41100,41190,40958,41190,13,0.03%,8,41190,577,41188,41200,41190,24962,,一般,,
2026/05/05,TX,202609  ,41082,41095,40824,40936,-241,-0.59%,8,-,-,40939,40954,41100,24962,,盤後,,
2026/05/05,TX,202612  ,41400,41520,41288,41520,66,0.16%,7,41506,266,41500,41512,41527,27382,,一般,,
2026/05/05,TX,202612  ,41527,41527,41040,41194,-260,-0.63%,20,-,-,41227,41265,41527,27382,,盤後,,
2026/05/05,TX,202703  ,41792,41792,41792,41792,-39,-0.09%,2,41903,113,41872,41934,41792,32400,,一般,,
2026/05/05,TX,202703  ,41761,41761,41761,41761,-70,-0.17%,1,-,-,41568,41657,41761,32400,,盤後,,
2026/05/06,TX,202605  ,41650,42005,41038,41503,469,1.14%,83758,41514,84612,41502,41504,42005,31357,,一般,,
2026/05/06,TX,202605  ,41077,41569,40961,41555,521,1.27%,45799,-,-,41553,41559,41569,31357,,盤後,,
2026/05/06,TX,202606  ,41680,42104,41164,41625,497,1.21%,1637,41625,4739,41614,41620,42104,20819,,一般,,
2026/05/06,TX,202606  ,41188,41657,41100,41630,502,1.22%,570,-,-,41647,41658,41657,20819,,盤後,,
2026/05/06,TX,202607  ,41680,42026,41200,41582,492,1.20%,47,41604,147,41601,41608,42026,36972,,一般,,
2026/05/06,TX,202607  ,41175,41605,41155,41605,515,1.25%,51,-,-,41603,41615,41605,36972,,盤後,,
2026/05/06,TX,202609  ,41988,41999,41429,41750,560,1.36%,17,41712,577,41709,41715,41999,24962,,一般,,
2026/05/06,TX,202609  ,41288,41688,41280,41688,498,1.21%,9,-,-,41705,41717,41688,24962,,盤後,,
2026/05/06,TX,202612  ,42205,42451,41678,42039,533,1.28%,32,42039,267,42014,42035,42451,27382,,一般,,
2026/05/06,TX,202612  ,41635,41925,41551,41895,389,0.94%,27,-,-,42006,42024,41925,27382,,盤後,,
2026/05/06,TX,202703  ,42808,42876,42101,42460,557,1.33%,12,42460,113,42422,42614,42876,32400,,一般,,
2026/05/06,TX,202703  ,41925,42385,41903,42375,472,1.13%,15,-,-,42398,42479,42385,32400,,盤後,,
2026/05/07,TX,202605  ,42329,42468,42005,42340,826,1.99%,59558,42352,86565,42341,42346,42468,31357,,一般,,
2026/05/07,TX,202605  ,41445,42327,41410,42320,806,1.94%,56177,-,-,42318,42322,42327,31357,,盤後,,
2026/05/07,TX,202606  ,42478,42570,42131,42477,852,2.05%,909,42475,5006,42455,42463,42570,20819,,一般,,
2026/05/07,TX,202606  ,41555,42413,41555,42412,787,1.89%,771,-,-,42428,42438,42413,20819,,盤後,,
2026/05/07,TX,202607  ,42278,42544,42168,42477,873,2.10%,52,42463,158,42459,42467,42544,36972,,一般,,
2026/05/07,TX,202607  ,41560,42390,41550,42390,786,1.89%,72,-,-,42420,42436,42390,36972,,盤後,,
2026/05/07,TX,202609  ,42326,42628,42326,42628,916,2.20%,27,42582,576,42579,42585,42628,24962,,一般,,
2026/05/07,TX,202609  ,41650,42538,41650,42538,826,1.98%,28,-,-,42535,42568,42538,24962,,盤後,,
2026/05/07,TX,202612  ,42735,43088,42650,42990,951,2.26%,24,42987,268,42970,42990,43088,27382,,一般,,
2026/05/07,TX,202612  ,42288,42969,42236,42832,793,1.89%,29,-,-,42900,43022,42969,27382,,盤後,,
2026/05/07,TX,202703  ,43444,43444,43098,43361,901,2.12%,6,43565,140,43456,43675,43627,32400,,一般,,
2026/05/07,TX,202703  ,42910,43627,42750,43555,1095,2.58%,52,-,-,43318,43722,43627,32400,,盤後,,
2026/05/08,TX,202605  ,42120,42343,41539,41937,-415,-0.98%,66370,41931,89587,41936,41944,42554,31357,,一般,,
2026/05/08,TX,202605  ,42422,42554,41751,41941,-411,-0.97%,54697,-,-,41940,41958,42554,31357,,盤後,,
2026/05/08,TX,202606  ,42181,42466,41680,42068,-407,-0.96%,1128,42060,5742,42062,42074,42669,20819,,一般,,
2026/05/08,TX,202606  ,42511,42669,41891,42083,-392,-0.92%,697,-,-,42072,42098,42669,20819,,盤後,,
2026/05/08,TX,202607  ,42217,42435,41725,42122,-341,-0.80%,85,42103,215,42098,42108,42666,36972,,一般,,
2026/05/08,TX,202607  ,42503,42666,41973,41973,-490,-1.15%,52,-,-,42108,42193,42666,36972,,盤後,,
