交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2020/10/05,TX,202010  ,12577,12620,12486,12529,56,0.45%,93958,12529,95856,12529,12531,12957,11820,,一般,,
2020/10/05,TX,202010  ,12472,12573,12459,12530,57,0.46%,41534,-,-,12529,12530,12957,11820,,盤後,,
2020/10/05,TX,202011  ,12513,12568,12440,12484,61,0.49%,757,12482,7017,12481,12485,12915,12003,,一般,,
2020/10/05,TX,202011  ,12422,12522,12410,12479,56,0.45%,474,-,-,12479,12482,12915,12003,,盤後,,
2020/10/05,TX,202012  ,12471,12525,12399,12442,61,0.49%,153,12442,5751,12439,12442,12878,7655,,一般,,
2020/10/05,TX,202012  ,12395,12476,12378,12435,54,0.44%,65,-,-,12437,12441,12878,7655,,盤後,,
2020/10/05,TX,202103  ,12330,12400,12287,12317,61,0.50%,140,12317,2114,12316,12321,12759,7591,,一般,,
2020/10/05,TX,202103  ,12255,12347,12255,12308,52,0.42%,11,-,-,12314,12318,12759,7591,,盤後,,
2020/10/05,TX,202106  ,12254,12254,12181,12193,57,0.47%,49,12193,562,12194,12200,12659,10843,,一般,,
2020/10/05,TX,202106  ,12209,12211,12193,12193,57,0.47%,4,-,-,12192,12197,12659,10843,,盤後,,
2020/10/05,TX,202109  ,11944,11965,11878,11882,51,0.43%,10,11882,84,11885,11892,12256,11440,,一般,,
2020/10/05,TX,202109  ,11920,11920,11920,11920,89,0.75%,2,-,-,11883,11889,12256,11440,,盤後,,
2020/10/06,TX,202010  ,12618,12704,12614,12675,146,1.17%,99739,12677,98529,12674,12676,12957,11820,,一般,,
2020/10/06,TX,202010  ,12520,12632,12490,12625,96,0.77%,30653,-,-,12624,12625,12957,11820,,盤後,,
2020/10/06,TX,202011  ,12574,12653,12567,12626,144,1.15%,1515,12627,7586,12626,12628,12915,12003,,一般,,
2020/10/06,TX,202011  ,12475,12582,12450,12575,93,0.75%,339,-,-,12574,12578,12915,12003,,盤後,,
2020/10/06,TX,202012  ,12518,12612,12518,12589,147,1.18%,126,12589,5788,12584,12587,12878,7655,,一般,,
