交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2019/03/04,TX,201903  ,10390,10400,10276,10311,-50,-0.48%,122715,10312,91785,10311,10313,11002,9272,,一般,,
2019/03/04,TX,201903  ,10341,10351,10283,10321,-40,-0.39%,26071,-,-,10321,10324,11002,9272,,盤後,,
2019/03/04,TX,201904  ,10373,10388,10268,10303,-48,-0.46%,1096,10301,2762,10301,10304,10406,9700,,一般,,
2019/03/04,TX,201904  ,10328,10338,10276,10316,-35,-0.34%,450,-,-,10311,10315,10406,9700,,盤後,,
2019/03/04,TX,201905  ,10350,10377,10260,10295,-45,-0.44%,121,10295,238,10289,10294,10393,10210,,一般,,
2019/03/04,TX,201905  ,10322,10329,10267,10303,-37,-0.36%,64,-,-,10299,10305,10393,10210,,盤後,,
2019/03/04,TX,201906  ,10361,10361,10246,10283,-44,-0.43%,168,10283,2357,10277,10282,10950,9209,,一般,,
2019/03/04,TX,201906  ,10313,10315,10257,10291,-36,-0.35%,33,-,-,10286,10291,10950,9209,,盤後,,
2019/03/04,TX,201909  ,9933,9933,9825,9858,-41,-0.41%,89,9858,1029,9857,9860,10521,8817,,一般,,
2019/03/04,TX,201909  ,9881,9885,9835,9852,-47,-0.47%,22,-,-,9860,9866,10521,8817,,盤後,,
2019/03/04,TX,201912  ,9882,9882,9770,9806,-44,-0.45%,89,9806,324,9802,9807,9891,8770,,一般,,
2019/03/04,TX,201912  ,9836,9836,9800,9800,-50,-0.51%,3,-,-,9809,9816,9891,8770,,盤後,,
2019/03/05,TX,201903  ,10260,10306,10248,10274,-38,-0.37%,97390,10275,89870,10274,10275,11002,9272,,一般,,
2019/03/05,TX,201903  ,10303,10310,10215,10264,-48,-0.47%,33293,-,-,10261,10264,11002,9272,,盤後,,
2019/03/05,TX,201904  ,10247,10295,10240,10268,-33,-0.32%,861,10267,3030,10264,10266,10406,9700,,一般,,
2019/03/05,TX,201904  ,10288,10299,10206,10253,-48,-0.47%,535,-,-,10250,10254,10406,9700,,盤後,,
2019/03/05,TX,201905  ,10239,10284,10230,10254,-41,-0.40%,75,10254,296,10253,10257,10393,10200,,一般,,
2019/03/05,TX,201905  ,10280,10287,10200,10235,-60,-0.58%,108,-,-,10240,10245,10393,10200,,盤後,,
2019/03/05,TX,201906  ,10224,10274,10220,10250,-33,-0.32%,40,10242,2389,10241,10244,10950,9209,,一般,,
2019/03/05,TX,201906  ,10260,10272,10186,10219,-64,-0.62%,57,-,-,10229,10233,10950,9209,,盤後,,
2019/03/05,TX,201909  ,9802,9849,9797,9822,-36,-0.37%,30,9822,1022,9820,9824,10521,8817,,一般,,
2019/03/05,TX,201909  ,9838,9843,9780,9800,-58,-0.59%,12,-,-,9806,9814,10521,8817,,盤後,,
2019/03/05,TX,201912  ,9755,9798,9748,9773,-33,-0.34%,31,9773,326,9769,9774,9891,8770,,一般,,
2019/03/05,TX,201912  ,9784,9784,9720,9750,-56,-0.57%,9,-,-,9753,9761,9891,8770,,盤後,,
2019/03/06,TX,201903  ,10283,10333,10282,10322,47,0.46%,91094,10322,91757,10322,10324,11002,9272,,一般,,
2019/03/06,TX,201903  ,10283,10315,10257,10299,24,0.23%,26534,-,-,10297,10299,11002,9272,,盤後,,
2019/03/06,TX,201904  ,10278,10323,10273,10312,45,0.44%,1304,10312,3858,10312,10314,10406,9700,,一般,,
2019/03/06,TX,201904  ,10279,10303,10250,10292,25,0.24%,359,-,-,10286,10290,10406,9700,,盤後,,
2019/03/06,TX,201905  ,10268,10311,10268,10303,49,0.48%,109,10303,335,10301,10304,10393,10200,,一般,,
2019/03/06,TX,201905  ,10265,10285,10243,10281,27,0.26%,22,-,-,10276,10281,10393,10200,,盤後,,
2019/03/06,TX,201906  ,10261,10298,10261,10290,48,0.47%,112,10290,2434,10288,10292,10950,9209,,一般,,
2019/03/06,TX,201906  ,10253,10279,10230,10272,30,0.29%,27,-,-,10264,10268,10950,9209,,盤後,,
2019/03/06,TX,201909  ,9845,9875,9845,9867,45,0.46%,55,9867,999,9867,9870,10521,8817,,一般,,
2019/03/06,TX,201909  ,9837,9837,9813,9816,-6,-0.06%,4,-,-,9844,9848,10521,8817,,盤後,,
2019/03/06,TX,201912  ,9795,9825,9795,9817,44,0.45%,22,9817,324,9817,9820,9891,8770,,一般,,
2019/03/06,TX,201912  ,9786,9800,9786,9800,27,0.28%,5,-,-,9793,9799,9891,8770,,盤後,,
2019/03/07,TX,201903  ,10315,10335,10260,10262,-60,-0.58%,95914,10261,92074,10262,10263,11002,9272,,一般,,
2019/03/07,TX,201903  ,10328,10355,10303,10306,-16,-0.16%,24035,-,-,10306,10308,11002,9272,,盤後,,
2019/03/07,TX,201904  ,10303,10325,10252,10253,-59,-0.57%,944,10253,3886,10252,10255,10406,9700,,一般,,
2019/03/07,TX,201904  ,10319,10344,10295,10302,-10,-0.10%,342,-,-,10297,10300,10406,9700,,盤後,,
2019/03/07,TX,201905  ,10300,10312,10242,10245,-58,-0.56%,79,10245,351,10243,10246,10393,10200,,一般,,
2019/03/07,TX,201905  ,10321,10333,10289,10290,-13,-0.13%,73,-,-,10285,10289,10393,10200,,盤後,,
2019/03/07,TX,201906  ,10278,10296,10230,10232,-58,-0.56%,63,10232,2417,10230,10232,10950,9209,,一般,,
2019/03/07,TX,201906  ,10295,10318,10276,10285,-5,-0.05%,37,-,-,10272,10277,10950,9209,,盤後,,
2019/03/07,TX,201909  ,9855,9872,9815,9820,-47,-0.48%,40,9815,1006,9814,9816,10521,8817,,一般,,
2019/03/07,TX,201909  ,9875,9893,9860,9862,-5,-0.05%,36,-,-,9852,9857,10521,8817,,盤後,,
2019/03/07,TX,201912  ,9818,9822,9769,9769,-48,-0.49%,37,9764,319,9762,9766,9891,8770,,一般,,
2019/03/07,TX,201912  ,9827,9838,9824,9824,7,0.07%,5,-,-,9801,9806,9891,8770,,盤後,,
2019/03/08,TX,201903  ,10230,10244,10162,10200,-61,-0.59%,127917,10201,91970,10201,10202,11002,9272,,一般,,
2019/03/08,TX,201903  ,10265,10292,10211,10227,-34,-0.33%,35981,-,-,10226,10227,11002,9272,,盤後,,
2019/03/08,TX,201904  ,10220,10236,10157,10194,-59,-0.58%,1979,10194,4146,10194,10196,10406,9700,,一般,,
2019/03/08,TX,201904  ,10255,10282,10204,10222,-31,-0.30%,600,-,-,10216,10220,10406,9700,,盤後,,
2019/03/08,TX,201905  ,10209,10226,10154,10187,-58,-0.57%,221,10187,402,10184,10187,10393,10154,,一般,,
2019/03/08,TX,201905  ,10254,10271,10196,10210,-35,-0.34%,91,-,-,10207,10210,10393,10196,,盤後,,
2019/03/08,TX,201906  ,10200,10213,10134,10175,-57,-0.56%,233,10175,2469,10171,10175,10950,9209,,一般,,
2019/03/08,TX,201906  ,10232,10249,10194,10198,-34,-0.33%,61,-,-,10194,10198,10950,9209,,盤後,,
2019/03/08,TX,201909  ,9791,9798,9728,9762,-53,-0.54%,58,9762,1008,9759,9765,10521,8817,,一般,,
2019/03/08,TX,201909  ,9823,9823,9775,9781,-34,-0.35%,13,-,-,9779,9785,10521,8817,,盤後,,
2019/03/08,TX,201912  ,9726,9735,9675,9715,-49,-0.50%,48,9715,330,9712,9715,9891,8770,,一般,,
2019/03/08,TX,201912  ,9775,9775,9730,9730,-34,-0.35%,11,-,-,9727,9732,9891,8770,,盤後,,
2019/03/11,TX,201903  ,10170,10234,10168,10229,28,0.27%,78910,10227,91932,10228,10229,11002,9272,,一般,,
2019/03/11,TX,201903  ,10190,10199,10149,10193,-8,-0.08%,35717,-,-,10193,10195,11002,9272,,盤後,,
2019/03/11,TX,201904  ,10170,10226,10162,10220,26,0.26%,1954,10219,5375,10219,10220,10406,9700,,一般,,
2019/03/11,TX,201904  ,10181,10190,10144,10190,-4,-0.04%,671,-,-,10185,10189,10406,9700,,盤後,,
2019/03/11,TX,201905  ,10158,10214,10152,10211,24,0.24%,102,10211,429,10210,10212,10393,10140,,一般,,
2019/03/11,TX,201905  ,10173,10177,10140,10177,-10,-0.10%,80,-,-,10176,10181,10393,10140,,盤後,,
2019/03/11,TX,201906  ,10146,10201,10145,10198,23,0.23%,63,10198,2519,10198,10200,10950,9209,,一般,,
2019/03/11,TX,201906  ,10154,10159,10130,10159,-16,-0.16%,57,-,-,10164,10169,10950,9209,,盤後,,
2019/03/11,TX,201909  ,9734,9788,9733,9788,26,0.27%,33,9788,1005,9786,9789,10521,8817,,一般,,
