交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2021/11/01,TX,202111  ,17040,17130,17028,17079,133,0.78%,79806,17080,72469,17079,17082,17497,15978,,一般,,
2021/11/01,TX,202111  ,16930,16983,16881,16972,26,0.15%,30243,-,-,16970,16972,17497,15978,,盤後,,
2021/11/01,TX,202112  ,16989,17098,16989,17053,136,0.80%,818,17051,8300,17050,17054,17568,13184,,一般,,
2021/11/01,TX,202112  ,16910,16950,16854,16943,26,0.15%,353,-,-,16940,16945,17568,13184,,盤後,,
2021/11/01,TX,202201  ,16950,17033,16950,16991,131,0.78%,61,16991,176,16995,17000,17033,16656,,一般,,
2021/11/01,TX,202201  ,16832,16883,16820,16883,23,0.14%,16,-,-,16886,16891,17013,16656,,盤後,,
2021/11/01,TX,202203  ,16898,16969,16877,16936,142,0.85%,50,16925,1856,16922,16928,17445,14054,,一般,,
2021/11/01,TX,202203  ,16774,16813,16739,16813,19,0.11%,17,-,-,16815,16820,17445,14054,,盤後,,
2021/11/01,TX,202206  ,16801,16846,16785,16808,122,0.73%,28,16808,581,16809,16817,17380,15801,,一般,,
2021/11/01,TX,202206  ,16651,16656,16650,16650,-36,-0.22%,3,-,-,16703,16711,17380,15801,,盤後,,
2021/11/01,TX,202209  ,16415,16415,16407,16413,127,0.78%,17,16413,156,16412,16424,16707,15550,,一般,,
2021/11/01,TX,202209  ,16266,16306,16243,16306,20,0.12%,5,-,-,16304,16313,16707,15550,,盤後,,
2021/11/02,TX,202111  ,17167,17255,17004,17047,-33,-0.19%,109134,17047,74782,17047,17049,17497,15978,,一般,,
2021/11/02,TX,202111  ,17078,17110,17061,17109,29,0.17%,16300,-,-,17108,17109,17497,15978,,盤後,,
2021/11/02,TX,202112  ,17129,17225,16980,17020,-31,-0.18%,1420,17020,8647,17019,17023,17568,13184,,一般,,
2021/11/02,TX,202112  ,17047,17079,17035,17078,27,0.16%,192,-,-,17078,17079,17568,13184,,盤後,,
2021/11/02,TX,202201  ,17090,17170,16930,16940,-51,-0.30%,145,16966,277,16965,16968,17170,16656,,一般,,
2021/11/02,TX,202201  ,16997,17010,16997,17010,19,0.11%,4,-,-,17023,17025,17033,16656,,盤後,,
2021/11/02,TX,202203  ,17014,17098,16865,16876,-49,-0.29%,119,16897,1915,16895,16899,17445,14054,,一般,,
2021/11/02,TX,202203  ,16931,16931,16915,16928,3,0.02%,9,-,-,16951,16956,17445,14054,,盤後,,
2021/11/02,TX,202206  ,16888,16961,16765,16765,-43,-0.26%,24,16784,582,16782,16787,17380,15801,,一般,,
2021/11/02,TX,202206  ,16821,16821,16810,16820,12,0.07%,7,-,-,16839,16845,17380,15801,,盤後,,
2021/11/02,TX,202209  ,16509,16566,16358,16376,-37,-0.23%,31,16376,141,16377,16385,16707,15550,,一般,,
2021/11/02,TX,202209  ,-,-,-,-,-,-,0,-,-,16441,16449,16707,15550,,盤後,,
2021/11/03,TX,202111  ,17081,17127,17040,17092,45,0.26%,72076,17091,72355,17090,17092,17497,15978,,一般,,
2021/11/03,TX,202111  ,17047,17112,17023,17112,65,0.38%,19708,-,-,17111,17112,17497,15978,,盤後,,
2021/11/03,TX,202112  ,17053,17100,17015,17069,49,0.29%,623,17068,8670,17063,17067,17568,13184,,一般,,
2021/11/03,TX,202112  ,17029,17082,16998,17082,62,0.36%,218,-,-,17084,17087,17568,13184,,盤後,,
2021/11/03,TX,202201  ,16996,17038,16970,17008,42,0.25%,62,17008,315,17008,17012,17170,16656,,一般,,
2021/11/03,TX,202201  ,16990,17012,16990,17012,46,0.27%,7,-,-,17028,17033,17170,16656,,盤後,,
2021/11/03,TX,202203  ,16918,16958,16908,16952,55,0.33%,25,16939,1921,16937,16942,17445,14054,,一般,,
2021/11/03,TX,202203  ,16887,16938,16878,16938,41,0.24%,4,-,-,16958,16963,17445,14054,,盤後,,
2021/11/03,TX,202206  ,16822,16839,16788,16829,45,0.27%,14,16829,583,16823,16829,17380,15801,,一般,,
2021/11/03,TX,202206  ,16775,16787,16775,16775,-9,-0.05%,3,-,-,16845,16851,17380,15801,,盤後,,
2021/11/03,TX,202209  ,16443,16443,16425,16434,58,0.35%,17,16434,155,16423,16434,16707,15550,,一般,,
2021/11/03,TX,202209  ,16347,16404,16347,16404,28,0.17%,4,-,-,16441,16449,16707,15550,,盤後,,
2021/11/04,TX,202111  ,17269,17280,17050,17075,-16,-0.09%,90112,17073,72200,17073,17075,17497,15978,,一般,,
2021/11/04,TX,202111  ,17102,17232,17062,17219,128,0.75%,30190,-,-,17218,17219,17497,15978,,盤後,,
2021/11/04,TX,202112  ,17235,17251,17030,17046,-22,-0.13%,1287,17046,9084,17046,17050,17568,13184,,一般,,
2021/11/04,TX,202112  ,17080,17201,17040,17191,123,0.72%,442,-,-,17192,17194,17568,13184,,盤後,,
2021/11/04,TX,202201  ,17180,17180,16978,16985,-23,-0.14%,177,16994,397,16992,16996,17180,16656,,一般,,
2021/11/04,TX,202201  ,17030,17146,16990,17146,138,0.81%,25,-,-,17137,17140,17170,16656,,盤後,,
2021/11/04,TX,202203  ,17120,17120,16910,16921,-18,-0.11%,55,16921,1919,16920,16925,17445,14054,,一般,,
2021/11/04,TX,202203  ,17066,17066,17066,17066,127,0.75%,2,-,-,17065,17070,17445,14054,,盤後,,
2021/11/04,TX,202206  ,16988,16988,16794,16803,-26,-0.15%,26,16803,574,16807,16813,17380,15801,,一般,,
2021/11/04,TX,202206  ,16800,16950,16800,16950,121,0.72%,3,-,-,16950,16956,17380,15801,,盤後,,
2021/11/04,TX,202209  ,16567,16567,16435,16435,1,0.01%,11,16408,161,16404,16413,16707,15550,,一般,,
2021/11/04,TX,202209  ,16415,16500,16415,16500,66,0.40%,2,-,-,16549,16557,16707,15550,,盤後,,
2021/11/05,TX,202111  ,17150,17279,17106,17267,194,1.14%,90064,17269,74883,17267,17271,17497,15978,,一般,,
2021/11/05,TX,202111  ,17067,17195,17059,17191,118,0.69%,24847,-,-,17191,17193,17497,15978,,盤後,,
2021/11/05,TX,202112  ,17136,17250,17082,17242,196,1.15%,1351,17241,9322,17240,17244,17568,13184,,一般,,
2021/11/05,TX,202112  ,17049,17167,17043,17167,121,0.71%,367,-,-,17163,17165,17568,13184,,盤後,,
2021/11/05,TX,202201  ,17073,17196,17040,17188,194,1.14%,69,17188,417,17185,17191,17196,16656,,一般,,
2021/11/05,TX,202201  ,16996,17082,16996,17073,79,0.46%,19,-,-,17110,17113,17180,16656,,盤後,,
2021/11/05,TX,202203  ,17002,17120,16956,17116,195,1.15%,82,17116,1915,17111,17118,17445,14054,,一般,,
2021/11/05,TX,202203  ,17031,17031,17031,17031,110,0.65%,1,-,-,17039,17044,17445,14054,,盤後,,
2021/11/05,TX,202206  ,16852,17000,16852,17000,197,1.17%,44,17000,559,16995,17003,17380,15801,,一般,,
2021/11/05,TX,202206  ,16921,16921,16921,16921,118,0.70%,1,-,-,16925,16931,17380,15801,,盤後,,
2021/11/05,TX,202209  ,16539,16600,16489,16600,192,1.17%,15,16600,158,16596,16601,16707,15550,,一般,,
2021/11/05,TX,202209  ,16442,16442,16420,16420,12,0.07%,2,-,-,16523,16529,16707,15550,,盤後,,
2021/11/08,TX,202111  ,17256,17425,17251,17424,155,0.90%,77522,17423,76105,17423,17424,17497,15978,,一般,,
2021/11/08,TX,202111  ,17274,17350,17241,17297,28,0.16%,32748,-,-,17297,17299,17497,15978,,盤後,,
2021/11/08,TX,202112  ,17244,17397,17230,17395,154,0.89%,1518,17395,9997,17394,17396,17568,13184,,一般,,
2021/11/08,TX,202112  ,17250,17320,17215,17273,32,0.19%,620,-,-,17268,17274,17568,13184,,盤後,,
2021/11/08,TX,202201  ,17187,17341,17185,17341,153,0.89%,88,17341,460,17338,17341,17341,16656,,一般,,
2021/11/08,TX,202201  ,17184,17260,17184,17218,30,0.17%,28,-,-,17214,17219,17260,16656,,盤後,,
2021/11/08,TX,202203  ,17120,17263,17120,17263,147,0.86%,46,17263,1915,17263,17267,17445,14054,,一般,,
2021/11/08,TX,202203  ,17110,17170,17100,17150,34,0.20%,24,-,-,17140,17146,17445,14054,,盤後,,
2021/11/08,TX,202206  ,17007,17154,17007,17154,154,0.91%,38,17154,543,17149,17154,17380,15801,,一般,,
2021/11/08,TX,202206  ,17019,17069,17019,17040,40,0.24%,5,-,-,17025,17032,17380,15801,,盤後,,
2021/11/08,TX,202209  ,16673,16738,16672,16738,138,0.83%,6,16738,156,16743,16750,16738,15550,,一般,,
2021/11/08,TX,202209  ,16584,16667,16584,16667,67,0.40%,12,-,-,16623,16632,16707,15550,,盤後,,
2021/11/09,TX,202111  ,17499,17593,17480,17555,132,0.76%,80924,17551,73078,17552,17555,17593,15978,,一般,,
2021/11/09,TX,202111  ,17421,17529,17415,17518,95,0.55%,24459,-,-,17516,17518,17529,15978,,盤後,,
2021/11/09,TX,202112  ,17465,17562,17456,17521,126,0.72%,1948,17521,10924,17523,17528,17568,13184,,一般,,
2021/11/09,TX,202112  ,17403,17499,17398,17487,92,0.53%,536,-,-,17486,17490,17568,13184,,盤後,,
2021/11/09,TX,202201  ,17426,17501,17410,17473,132,0.76%,73,17473,469,17467,17473,17501,16656,,一般,,
