交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2021/01/04,TX,202101  ,14640,14925,14635,14874,196,1.34%,137069,14873,96894,14872,14875,14925,12240,,一般,,
2021/01/04,TX,202101  ,14677,14691,14630,14664,-14,-0.10%,18161,-,-,14661,14664,14712,12240,,盤後,,
2021/01/04,TX,202102  ,14581,14852,14569,14800,192,1.31%,2313,14802,9568,14800,14805,14852,13528,,一般,,
2021/01/04,TX,202102  ,14606,14619,14566,14595,-13,-0.09%,299,-,-,14593,14600,14645,13528,,盤後,,
2021/01/04,TX,202103  ,14493,14777,14493,14725,191,1.31%,298,14725,6939,14724,14729,14777,7591,,一般,,
2021/01/04,TX,202103  ,14535,14535,14500,14527,-7,-0.05%,12,-,-,14516,14523,14567,7591,,盤後,,
2021/01/04,TX,202106  ,14393,14594,14340,14550,190,1.32%,53,14550,1623,14548,14555,14594,10843,,一般,,
2021/01/04,TX,202106  ,14345,14345,14345,14345,-15,-0.10%,4,-,-,14342,14349,14382,10843,,盤後,,
2021/01/04,TX,202109  ,13935,14196,13935,14142,177,1.27%,134,14153,571,14151,14156,14196,11440,,一般,,
2021/01/04,TX,202109  ,13960,13979,13940,13940,-25,-0.18%,5,-,-,13948,13963,13990,11440,,盤後,,
2021/01/04,TX,202112  ,13833,14060,13807,14028,195,1.41%,47,14028,163,14017,14032,14060,13184,,一般,,
2021/01/04,TX,202112  ,-,-,-,-,-,-,0,-,-,13815,13826,13860,13184,,盤後,,
2021/01/05,TX,202101  ,14874,14980,14836,14977,104,0.70%,110886,14976,96044,14977,14978,14980,12240,,一般,,
2021/01/05,TX,202101  ,14888,14970,14781,14830,-43,-0.29%,60486,-,-,14830,14834,14970,12240,,盤後,,
2021/01/05,TX,202102  ,14796,14904,14761,14902,100,0.68%,1954,14902,10643,14901,14904,14904,13528,,一般,,
2021/01/05,TX,202102  ,14825,14897,14713,14758,-44,-0.30%,1446,-,-,14757,14764,14897,13528,,盤後,,
2021/01/05,TX,202103  ,14729,14827,14690,14827,102,0.69%,210,14827,7067,14825,14828,14827,7591,,一般,,
2021/01/05,TX,202103  ,14740,14808,14638,14721,-4,-0.03%,106,-,-,14681,14689,14808,7591,,盤後,,
2021/01/05,TX,202106  ,14555,14645,14525,14645,95,0.65%,67,14645,1640,14649,14652,14645,10843,,一般,,
2021/01/05,TX,202106  ,14584,14645,14470,14503,-47,-0.32%,24,-,-,14505,14515,14645,10843,,盤後,,
2021/01/05,TX,202109  ,14160,14250,14133,14250,97,0.69%,38,14250,575,14247,14251,14250,11440,,一般,,
2021/01/05,TX,202109  ,14186,14239,14082,14082,-71,-0.50%,36,-,-,14107,14117,14239,11440,,盤後,,
2021/01/05,TX,202112  ,14020,14116,14003,14112,84,0.60%,34,14112,165,14111,14117,14116,13184,,一般,,
2021/01/05,TX,202112  ,14061,14106,13960,13960,-68,-0.48%,16,-,-,13975,13988,14106,13184,,盤後,,
2021/01/06,TX,202101  ,15048,15140,14764,14911,-65,-0.43%,233806,14911,93545,14909,14911,15140,12240,,一般,,
2021/01/06,TX,202101  ,15003,15048,14953,15036,60,0.40%,42752,-,-,15035,15038,15048,12240,,盤後,,
2021/01/06,TX,202102  ,14968,15062,14692,14832,-70,-0.47%,3753,14831,11586,14830,14834,15062,13528,,一般,,
2021/01/06,TX,202102  ,14920,14972,14880,14963,61,0.41%,804,-,-,14958,14964,14972,13528,,盤後,,
2021/01/06,TX,202103  ,14884,14982,14614,14756,-71,-0.48%,1138,14758,7927,14750,14755,14982,7591,,一般,,
2021/01/06,TX,202103  ,14851,14896,14815,14875,48,0.32%,98,-,-,14882,14889,14896,7591,,盤後,,
2021/01/06,TX,202106  ,14723,14800,14444,14589,-56,-0.38%,169,14573,1723,14571,14575,14800,10843,,一般,,
2021/01/06,TX,202106  ,14677,14698,14655,14696,51,0.35%,27,-,-,14706,14714,14698,10843,,盤後,,
2021/01/06,TX,202109  ,14325,14396,14039,14198,-52,-0.36%,93,14176,618,14174,14179,14396,11440,,一般,,
2021/01/06,TX,202109  ,14279,14313,14250,14309,59,0.41%,28,-,-,14304,14314,14313,11440,,盤後,,
2021/01/06,TX,202112  ,14178,14260,14000,14070,-42,-0.30%,75,14038,198,14034,14042,14260,13184,,一般,,
2021/01/06,TX,202112  ,14130,14176,14129,14176,64,0.45%,23,-,-,14166,14177,14176,13184,,盤後,,
2021/01/07,TX,202101  ,15050,15260,15024,15230,319,2.14%,151918,15226,96154,15228,15230,15260,12240,,一般,,
2021/01/07,TX,202101  ,14925,15060,14858,15030,119,0.80%,53725,-,-,15030,15031,15140,12240,,盤後,,
2021/01/07,TX,202102  ,14978,15181,14946,15149,318,2.14%,3891,15147,12200,15149,15152,15181,13528,,一般,,
2021/01/07,TX,202102  ,14833,14981,14790,14945,114,0.77%,1120,-,-,14949,14954,15062,13528,,盤後,,
2021/01/07,TX,202103  ,14881,15096,14867,15060,302,2.05%,608,15068,8227,15067,15070,15096,7591,,一般,,
2021/01/07,TX,202103  ,14771,14894,14708,14866,108,0.73%,87,-,-,14870,14874,14982,7591,,盤後,,
2021/01/07,TX,202106  ,14720,14906,14693,14880,307,2.11%,59,14888,1706,14886,14891,14906,10843,,一般,,
2021/01/07,TX,202106  ,14597,14622,14573,14622,49,0.34%,7,-,-,14692,14695,14800,10843,,盤後,,
2021/01/07,TX,202109  ,14320,14505,14290,14490,314,2.22%,66,14490,633,14488,14492,14505,11440,,一般,,
2021/01/07,TX,202109  ,14202,14324,14161,14324,148,1.04%,15,-,-,14294,14300,14396,11440,,盤後,,
2021/01/07,TX,202112  ,14207,14370,14189,14343,305,2.17%,50,14350,214,14346,14354,14370,13184,,一般,,
2021/01/07,TX,202112  ,14058,14128,14058,14128,90,0.64%,4,-,-,14156,14164,14260,13184,,盤後,,
2021/01/08,TX,202101  ,15376,15473,15264,15454,228,1.50%,158703,15451,95314,15454,15456,15473,12240,,一般,,
2021/01/08,TX,202101  ,15238,15401,15226,15393,167,1.10%,57228,-,-,15391,15394,15401,12240,,盤後,,
2021/01/08,TX,202102  ,15295,15403,15197,15387,240,1.58%,3257,15384,13491,15385,15388,15403,13528,,一般,,
2021/01/08,TX,202102  ,15159,15320,15151,15313,166,1.10%,941,-,-,15314,15320,15320,13528,,盤後,,
2021/01/08,TX,202103  ,15217,15320,15120,15305,237,1.57%,524,15305,8335,15303,15307,15320,7591,,一般,,
2021/01/08,TX,202103  ,15078,15235,15072,15221,153,1.02%,169,-,-,15234,15241,15235,7591,,盤後,,
2021/01/08,TX,202106  ,15055,15122,14939,15118,230,1.54%,232,15118,1801,15121,15126,15122,10843,,一般,,
2021/01/08,TX,202106  ,14937,15006,14888,15006,118,0.79%,19,-,-,15053,15063,15006,10843,,盤後,,
2021/01/08,TX,202109  ,14640,14720,14540,14716,226,1.56%,234,14716,829,14715,14720,14720,11440,,一般,,
2021/01/08,TX,202109  ,14496,14652,14490,14652,162,1.12%,22,-,-,14653,14667,14652,11440,,盤後,,
2021/01/08,TX,202112  ,14521,14587,14420,14585,235,1.64%,60,14585,223,14579,14587,14587,13184,,一般,,
2021/01/08,TX,202112  ,14359,14500,14351,14466,116,0.81%,26,-,-,14510,14524,14500,13184,,盤後,,
2021/01/11,TX,202101  ,15420,15538,15369,15534,83,0.54%,139479,15531,95732,15534,15535,15538,12240,,一般,,
2021/01/11,TX,202101  ,15462,15526,15335,15419,-32,-0.21%,60650,-,-,15418,15419,15526,12240,,盤後,,
2021/01/11,TX,202102  ,15353,15466,15302,15464,80,0.52%,2773,15459,14913,15463,15465,15466,13528,,一般,,
2021/01/11,TX,202102  ,15390,15458,15273,15355,-29,-0.19%,987,-,-,15351,15355,15458,13528,,盤後,,
2021/01/11,TX,202103  ,15290,15381,15229,15380,75,0.49%,463,15380,8611,15379,15382,15381,7591,,一般,,
2021/01/11,TX,202103  ,15311,15368,15200,15263,-42,-0.27%,112,-,-,15272,15277,15368,7591,,盤後,,
2021/01/11,TX,202106  ,15128,15196,15060,15196,78,0.52%,499,15196,2193,15194,15198,15196,10843,,一般,,
2021/01/11,TX,202106  ,15129,15165,15020,15113,-5,-0.03%,16,-,-,15086,15099,15165,10843,,盤後,,
2021/01/11,TX,202109  ,14650,14791,14642,14791,75,0.51%,71,14791,859,14791,14795,14791,11440,,一般,,
2021/01/11,TX,202109  ,14718,14765,14620,14698,-18,-0.12%,47,-,-,14683,14702,14765,11440,,盤後,,
2021/01/11,TX,202112  ,14586,14652,14526,14652,67,0.46%,27,14652,224,14650,14658,14652,13184,,一般,,
2021/01/11,TX,202112  ,14585,14602,14480,14578,-7,-0.05%,20,-,-,14549,14562,14602,13184,,盤後,,
2021/01/12,TX,202101  ,15517,15605,15407,15493,-38,-0.24%,175838,15489,96686,15491,15493,15605,12240,,一般,,
2021/01/12,TX,202101  ,15518,15560,15453,15514,-17,-0.11%,45817,-,-,15513,15514,15560,12240,,盤後,,
2021/01/12,TX,202102  ,15443,15532,15341,15423,-36,-0.23%,4266,15422,16844,15422,15425,15532,13528,,一般,,
2021/01/12,TX,202102  ,15449,15489,15387,15443,-16,-0.10%,834,-,-,15442,15445,15489,13528,,盤後,,
2021/01/12,TX,202103  ,15371,15448,15257,15340,-40,-0.26%,416,15340,8829,15337,15340,15448,7591,,一般,,
2021/01/12,TX,202103  ,15362,15404,15305,15340,-40,-0.26%,131,-,-,15358,15363,15404,7591,,盤後,,
2021/01/12,TX,202106  ,15193,15235,15072,15150,-46,-0.30%,212,15150,2497,15147,15151,15235,10843,,一般,,
2021/01/12,TX,202106  ,15213,15213,15115,15200,4,0.03%,167,-,-,15168,15171,15213,10843,,盤後,,
2021/01/12,TX,202109  ,14808,14859,14680,14749,-42,-0.28%,46,14749,887,14746,14751,14859,11440,,一般,,
2021/01/12,TX,202109  ,14793,14808,14730,14795,4,0.03%,20,-,-,14769,14775,14808,11440,,盤後,,
2021/01/12,TX,202112  ,14660,14660,14560,14610,-42,-0.29%,26,14610,241,14606,14613,14670,13184,,一般,,
2021/01/12,TX,202112  ,14668,14670,14599,14599,-53,-0.36%,11,-,-,14629,14637,14670,13184,,盤後,,
2021/01/13,TX,202101  ,15557,15790,15555,15764,275,1.78%,154811,15759,99559,15762,15764,15790,12240,,一般,,
2021/01/13,TX,202101  ,15500,15555,15486,15537,48,0.31%,34793,-,-,15537,15538,15605,12240,,盤後,,
2021/01/13,TX,202102  ,15488,15716,15485,15690,268,1.74%,3326,15687,17240,15689,15694,15716,13528,,一般,,
2021/01/13,TX,202102  ,15444,15481,15418,15466,44,0.29%,995,-,-,15465,15468,15532,13528,,盤後,,
2021/01/13,TX,202103  ,15387,15628,15387,15598,258,1.68%,450,15598,8732,15603,15605,15628,7591,,一般,,
2021/01/13,TX,202103  ,15359,15385,15330,15378,38,0.25%,38,-,-,15379,15383,15448,7591,,盤後,,
2021/01/13,TX,202106  ,15215,15429,15215,15403,253,1.67%,367,15403,2753,15406,15413,15429,10843,,一般,,
2021/01/13,TX,202106  ,15176,15207,15154,15207,57,0.38%,6,-,-,15190,15193,15235,10843,,盤後,,
2021/01/13,TX,202109  ,14820,15013,14820,15000,251,1.70%,81,15000,910,15001,15009,15013,11440,,一般,,
2021/01/13,TX,202109  ,14782,14801,14740,14801,52,0.35%,10,-,-,14788,14792,14859,11440,,盤後,,
2021/01/13,TX,202112  ,14694,14864,14693,14860,250,1.71%,78,14860,273,14855,14866,14864,13184,,一般,,
2021/01/13,TX,202112  ,14648,14662,14637,14662,52,0.36%,4,-,-,14646,14649,14670,13184,,盤後,,
2021/01/14,TX,202101  ,15705,15766,15632,15729,-30,-0.19%,121305,15727,96100,15726,15729,15814,12240,,一般,,
2021/01/14,TX,202101  ,15767,15814,15673,15690,-69,-0.44%,53010,-,-,15690,15693,15814,12240,,盤後,,
2021/01/14,TX,202102  ,15623,15695,15566,15658,-29,-0.18%,4307,15659,20015,15656,15660,15742,13528,,一般,,
2021/01/14,TX,202102  ,15690,15742,15604,15627,-60,-0.38%,1947,-,-,15621,15628,15742,13528,,盤後,,
2021/01/14,TX,202103  ,15550,15608,15482,15582,-16,-0.10%,348,15582,8994,15573,15578,15650,7591,,一般,,
2021/01/14,TX,202103  ,15613,15650,15525,15544,-54,-0.35%,244,-,-,15535,15542,15650,7591,,盤後,,
2021/01/14,TX,202106  ,15336,15416,15290,15382,-21,-0.14%,55,15382,2787,15379,15384,15429,10843,,一般,,
