交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2019/11/01,TX,201911  ,11333,11377,11316,11371,27,0.24%,60298,11371,100546,11371,11373,11396,10251,,一般,,
2019/11/01,TX,201911  ,11344,11354,11302,11317,-27,-0.24%,33106,-,-,11317,11318,11396,10251,,盤後,,
2019/11/01,TX,201912  ,11311,11354,11297,11351,28,0.25%,841,11350,6985,11349,11351,11372,8770,,一般,,
2019/11/01,TX,201912  ,11320,11331,11281,11304,-19,-0.17%,424,-,-,11295,11298,11372,8770,,盤後,,
2019/11/01,TX,202001  ,11266,11310,11260,11308,28,0.25%,82,11308,375,11306,11310,11329,11070,,一般,,
2019/11/01,TX,202001  ,11278,11278,11242,11262,-18,-0.16%,79,-,-,11254,11257,11329,11070,,盤後,,
2019/11/01,TX,202003  ,11228,11268,11215,11266,26,0.23%,40,11266,2009,11262,11267,11285,9756,,一般,,
2019/11/01,TX,202003  ,11240,11244,11201,11201,-39,-0.35%,24,-,-,11211,11214,11285,9756,,盤後,,
2019/11/01,TX,202006  ,11156,11187,11156,11187,21,0.19%,12,11193,845,11191,11195,11216,9919,,一般,,
2019/11/01,TX,202006  ,11163,11163,11128,11138,-28,-0.25%,13,-,-,11139,11143,11216,9919,,盤後,,
2019/11/01,TX,202009  ,10825,10869,10816,10863,26,0.24%,88,10863,268,10861,10866,10883,10270,,一般,,
2019/11/01,TX,202009  ,10832,10842,10796,10798,-39,-0.36%,35,-,-,10809,10813,10883,10270,,盤後,,
2019/11/04,TX,201911  ,11416,11554,11413,11544,173,1.52%,102908,11542,105765,11543,11544,11554,10251,,一般,,
2019/11/04,TX,201911  ,11371,11406,11361,11406,35,0.31%,23162,-,-,11405,11407,11406,10251,,盤後,,
2019/11/04,TX,201912  ,11394,11531,11392,11523,173,1.52%,2129,11517,7730,11520,11523,11531,8770,,一般,,
2019/11/04,TX,201912  ,11351,11385,11339,11383,33,0.29%,400,-,-,11382,11384,11385,8770,,盤後,,
2019/11/04,TX,202001  ,11341,11486,11341,11474,166,1.47%,189,11474,434,11477,11481,11486,11070,,一般,,
2019/11/04,TX,202001  ,11308,11340,11303,11340,32,0.28%,51,-,-,11340,11344,11340,11070,,盤後,,
2019/11/04,TX,202003  ,11312,11439,11311,11431,165,1.46%,105,11431,2026,11431,11435,11439,9756,,一般,,
2019/11/04,TX,202003  ,11260,11291,11260,11291,25,0.22%,37,-,-,11296,11299,11291,9756,,盤後,,
2019/11/04,TX,202006  ,11235,11363,11235,11358,165,1.47%,58,11358,847,11358,11362,11363,9919,,一般,,
2019/11/04,TX,202006  ,11202,11202,11202,11202,9,0.08%,1,-,-,11225,11228,11216,9919,,盤後,,
2019/11/04,TX,202009  ,10903,11035,10903,11025,162,1.49%,241,11025,276,11025,11029,11035,10270,,一般,,
2019/11/04,TX,202009  ,10855,10897,10854,10897,34,0.31%,99,-,-,10894,10899,10897,10270,,盤後,,
2019/11/05,TX,201911  ,11594,11650,11566,11645,103,0.89%,85555,11645,102171,11645,11647,11650,10251,,一般,,
2019/11/05,TX,201911  ,11549,11627,11538,11594,52,0.45%,39661,-,-,11593,11594,11627,10251,,盤後,,
2019/11/05,TX,201912  ,11568,11626,11545,11624,107,0.93%,1867,11623,8379,11621,11623,11626,8770,,一般,,
2019/11/05,TX,201912  ,11523,11602,11518,11573,56,0.49%,655,-,-,11569,11573,11602,8770,,盤後,,
2019/11/05,TX,202001  ,11523,11578,11505,11578,104,0.91%,107,11578,455,11579,11583,11578,11070,,一般,,
2019/11/05,TX,202001  ,11481,11560,11481,11530,56,0.49%,49,-,-,11527,11530,11560,11070,,盤後,,
2019/11/05,TX,202003  ,11489,11532,11458,11532,101,0.88%,76,11532,2021,11534,11539,11532,9756,,一般,,
2019/11/05,TX,202003  ,11431,11510,11431,11480,49,0.43%,75,-,-,11482,11486,11510,9756,,盤後,,
2019/11/05,TX,202006  ,11397,11466,11397,11464,106,0.93%,44,11464,859,11461,11465,11466,9919,,一般,,
2019/11/05,TX,202006  ,11369,11422,11369,11413,55,0.48%,19,-,-,11409,11413,11422,9919,,盤後,,
