交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2025/12/01,TX,202512  ,27650,27674,27401,27404,-333,-1.20%,64629,27406,71269,27405,27407,28611,16873,,一般,,
2025/12/01,TX,202512  ,27743,27864,27693,27784,47,0.17%,28406,-,-,27782,27788,28611,16873,,盤後,,
2025/12/01,TX,202601  ,27691,27691,27425,27425,-330,-1.19%,866,27430,1868,27428,27433,28626,26277,,一般,,
2025/12/01,TX,202601  ,27749,27876,27718,27801,46,0.17%,275,-,-,27798,27807,28626,26277,,盤後,,
2025/12/01,TX,202602  ,27666,27708,27461,27461,-326,-1.17%,42,27461,122,27458,27464,27880,26305,,一般,,
2025/12/01,TX,202602  ,27808,27856,27783,27835,48,0.17%,12,-,-,27823,27833,27880,26305,,盤後,,
2025/12/01,TX,202603  ,27608,27691,27444,27444,-321,-1.16%,26,27444,628,27439,27444,28611,17068,,一般,,
2025/12/01,TX,202603  ,27771,27828,27737,27812,47,0.17%,16,-,-,27805,27815,28611,17068,,盤後,,
2025/12/01,TX,202606  ,27605,27605,27475,27475,-287,-1.03%,5,27438,264,27435,27442,28593,20819,,一般,,
2025/12/01,TX,202606  ,27762,-,-,27762,0,0.00%,5,-,-,27801,27812,28593,20819,,盤後,,
2025/12/01,TX,202609  ,27453,27453,27227,27227,-301,-1.09%,5,27202,129,27192,27213,28363,24962,,一般,,
2025/12/01,TX,202609  ,27592,27592,27592,27592,64,0.23%,1,-,-,27558,27591,28363,24962,,盤後,,
2025/12/02,TX,202512  ,27674,27789,27528,27561,155,0.57%,56480,27559,70686,27560,27563,28611,16873,,一般,,
2025/12/02,TX,202512  ,27452,27737,27407,27602,196,0.72%,48974,-,-,27601,27603,28611,16873,,盤後,,
2025/12/02,TX,202601  ,27657,27806,27554,27584,154,0.56%,546,27584,2004,27584,27589,28626,26277,,一般,,
2025/12/02,TX,202601  ,27480,27755,27431,27614,184,0.67%,607,-,-,27620,27626,28626,26277,,盤後,,
2025/12/02,TX,202602  ,27728,27823,27619,27669,208,0.76%,15,27612,124,27608,27616,27880,26305,,一般,,
2025/12/02,TX,202602  ,27577,27779,27502,27634,173,0.63%,19,-,-,27644,27652,27880,26305,,盤後,,
2025/12/02,TX,202603  ,27800,27800,27704,27704,260,0.95%,6,27593,634,27589,27597,28611,17068,,一般,,
2025/12/02,TX,202603  ,27448,27750,27448,27750,306,1.11%,15,-,-,27624,27632,28611,17068,,盤後,,
2025/12/02,TX,202606  ,27778,27778,27570,27570,132,0.48%,9,27591,265,27587,27595,28593,20819,,一般,,
2025/12/02,TX,202606  ,27563,27666,27470,27666,228,0.83%,12,-,-,27619,27627,28593,20819,,盤後,,
2025/12/02,TX,202609  ,27402,27402,27402,27402,200,0.74%,1,27357,129,27351,27363,28363,24962,,一般,,
2025/12/02,TX,202609  ,27245,27420,27228,27420,218,0.80%,7,-,-,27380,27407,28363,24962,,盤後,,
2025/12/03,TX,202512  ,27808,27888,27690,27758,199,0.72%,54873,27760,71057,27757,27758,28611,16873,,一般,,
2025/12/03,TX,202512  ,27568,27854,27567,27800,241,0.87%,51103,-,-,27798,27802,28611,16873,,盤後,,
2025/12/03,TX,202601  ,27835,27912,27725,27795,211,0.76%,777,27793,2225,27786,27789,28626,26277,,一般,,
2025/12/03,TX,202601  ,27615,27876,27610,27834,250,0.91%,566,-,-,27822,27830,28626,26277,,盤後,,
2025/12/03,TX,202602  ,27886,27935,27750,27799,187,0.68%,34,27812,118,27809,27815,27935,26305,,一般,,
2025/12/03,TX,202602  ,27650,27894,27650,27850,238,0.86%,15,-,-,27845,27855,27894,26305,,盤後,,
2025/12/03,TX,202603  ,27864,27864,27770,27774,181,0.66%,30,27792,634,27790,27795,28611,17068,,一般,,
2025/12/03,TX,202603  ,27640,27763,27640,27762,169,0.61%,4,-,-,27828,27837,28611,17068,,盤後,,
2025/12/03,TX,202606  ,27760,27782,27760,27782,191,0.69%,17,27793,277,27790,27796,28593,20819,,一般,,
2025/12/03,TX,202606  ,27631,27631,27631,27631,40,0.14%,1,-,-,27825,27835,28593,20819,,盤後,,
2025/12/03,TX,202609  ,27357,-,-,27357,0,0.00%,1,27560,131,27555,27565,28363,24962,,一般,,
2025/12/03,TX,202609  ,27521,27654,27521,27654,297,1.09%,6,-,-,27589,27617,28363,24962,,盤後,,
2025/12/04,TX,202512  ,27841,27880,27670,27799,39,0.14%,49647,27798,71290,27796,27799,28611,16873,,一般,,
2025/12/04,TX,202512  ,27748,27860,27610,27856,96,0.35%,48539,-,-,27855,27859,28611,16873,,盤後,,
2025/12/04,TX,202601  ,27882,27905,27705,27828,35,0.13%,778,27828,2500,27826,27830,28626,26277,,一般,,
2025/12/04,TX,202601  ,27790,27888,27644,27886,93,0.33%,560,-,-,27885,27893,28626,26277,,盤後,,
2025/12/04,TX,202602  ,27852,27918,27750,27860,48,0.17%,29,27860,127,27850,27857,27935,26305,,一般,,
2025/12/04,TX,202602  ,27800,27911,27684,27910,98,0.35%,18,-,-,27908,27918,27935,26305,,盤後,,
2025/12/04,TX,202603  ,27910,27910,27738,27839,47,0.17%,10,27839,635,27836,27843,28611,17068,,一般,,
