交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2022/02/07,TX,202202  ,17797,17900,17693,17899,275,1.56%,113464,17896,74145,17899,17900,18604,17000,,一般,,
2022/02/07,TX,202202  ,17627,17732,17439,17482,-142,-0.81%,55520,-,-,17477,17489,18604,17000,,盤後,,
2022/02/07,TX,202203  ,17700,17847,17645,17846,278,1.58%,1731,17846,10314,17845,17847,18545,14054,,一般,,
2022/02/07,TX,202203  ,17569,17673,17388,17428,-140,-0.80%,667,-,-,17420,17435,18545,14054,,盤後,,
2022/02/07,TX,202204  ,17690,17804,17603,17795,264,1.51%,71,17805,457,17804,17806,18170,17399,,一般,,
2022/02/07,TX,202204  ,17597,17622,17399,17399,-132,-0.75%,16,-,-,17381,17397,18170,17399,,盤後,,
2022/02/07,TX,202206  ,17571,17726,17530,17726,271,1.55%,59,17726,810,17725,17728,18398,15801,,一般,,
2022/02/07,TX,202206  ,17502,17550,17285,17350,-105,-0.60%,20,-,-,17300,17317,18398,15801,,盤後,,
2022/02/07,TX,202209  ,17172,17300,17172,17300,265,1.56%,8,17309,277,17306,17312,18005,15550,,一般,,
2022/02/07,TX,202209  ,16940,16940,16910,16910,-125,-0.73%,2,-,-,16884,16901,18005,15550,,盤後,,
2022/02/07,TX,202212  ,17170,17208,17155,17208,244,1.44%,6,17234,218,17232,17237,17888,16865,,一般,,
2022/02/07,TX,202212  ,17038,17038,16922,16922,-42,-0.25%,2,-,-,16812,16828,17888,16865,,盤後,,
2022/02/08,TX,202202  ,17960,18047,17922,17942,46,0.26%,89700,17942,73887,17941,17943,18604,17000,,一般,,
2022/02/08,TX,202202  ,17905,17967,17863,17902,6,0.03%,34835,-,-,17895,17902,18604,17000,,盤後,,
2022/02/08,TX,202203  ,17894,17991,17870,17889,43,0.24%,1697,17888,11020,17885,17890,18545,14054,,一般,,
2022/02/08,TX,202203  ,17858,17911,17810,17837,-9,-0.05%,503,-,-,17839,17850,18545,14054,,盤後,,
2022/02/08,TX,202204  ,17878,17948,17830,17850,45,0.25%,115,17850,544,17844,17850,18170,17399,,一般,,
2022/02/08,TX,202204  ,17830,17855,17786,17796,-9,-0.05%,12,-,-,17800,17810,18170,17399,,盤後,,
2022/02/08,TX,202206  ,17806,17869,17768,17768,42,0.24%,28,17768,797,17765,17769,18398,15801,,一般,,
2022/02/08,TX,202206  ,17745,17778,17700,17778,52,0.29%,29,-,-,17718,17729,18398,15801,,盤後,,
2022/02/08,TX,202209  ,17400,17450,17400,17428,119,0.69%,6,17350,278,17347,17353,18005,15550,,一般,,
2022/02/08,TX,202209  ,17284,17305,17284,17305,-4,-0.02%,3,-,-,17303,17314,18005,15550,,盤後,,
2022/02/08,TX,202212  ,17310,17370,17263,17280,46,0.27%,28,17280,232,17273,17280,17888,16865,,一般,,
2022/02/08,TX,202212  ,-,-,-,-,-,-,0,-,-,17228,17240,17888,16865,,盤後,,
2022/02/09,TX,202202  ,18068,18169,18050,18167,225,1.25%,72278,18164,74614,18166,18167,18604,17000,,一般,,
2022/02/09,TX,202202  ,17967,18050,17948,18050,108,0.60%,30160,-,-,18049,18050,18604,17000,,盤後,,
2022/02/09,TX,202203  ,18005,18113,17997,18113,225,1.26%,1929,18108,11696,18110,18113,18545,14054,,一般,,
2022/02/09,TX,202203  ,17916,17995,17897,17993,105,0.59%,583,-,-,17993,17995,18545,14054,,盤後,,
2022/02/09,TX,202204  ,17965,18073,17960,18073,223,1.25%,93,18069,575,18070,18073,18170,17399,,一般,,
2022/02/09,TX,202204  ,17874,17950,17865,17950,100,0.56%,19,-,-,17953,17957,18170,17399,,盤後,,
2022/02/09,TX,202206  ,17888,17985,17888,17985,217,1.22%,93,17984,806,17985,17988,18398,15801,,一般,,
2022/02/09,TX,202206  ,17783,17850,17783,17830,62,0.35%,20,-,-,17871,17876,18398,15801,,盤後,,
2022/02/09,TX,202209  ,17475,17571,17475,17571,221,1.27%,26,17571,281,17569,17573,18005,15550,,一般,,
2022/02/09,TX,202209  ,17380,17380,17377,17380,30,0.17%,3,-,-,17454,17460,18005,15550,,盤後,,
