交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2020/09/01,TX,202009  ,12566,12698,12531,12691,102,0.81%,114612,12688,89228,12691,12692,12972,7782,,一般,,
2020/09/01,TX,202009  ,12567,12587,12476,12547,-42,-0.33%,46312,-,-,12546,12552,12972,7782,,盤後,,
2020/09/01,TX,202010  ,12521,12650,12500,12644,99,0.79%,957,12640,4199,12643,12645,12919,11820,,一般,,
2020/09/01,TX,202010  ,12511,12540,12433,12540,-5,-0.04%,616,-,-,12500,12509,12919,11820,,盤後,,
2020/09/01,TX,202011  ,12495,12625,12485,12619,95,0.76%,66,12619,449,12619,12622,12840,12016,,一般,,
2020/09/01,TX,202011  ,12497,12499,12417,12499,-25,-0.20%,23,-,-,12479,12488,12840,12016,,盤後,,
2020/09/01,TX,202012  ,12500,12600,12450,12590,93,0.74%,363,12590,4195,12593,12597,12845,7655,,一般,,
2020/09/01,TX,202012  ,12437,12472,12400,12472,-25,-0.20%,40,-,-,12451,12461,12845,7655,,盤後,,
2020/09/01,TX,202103  ,12392,12502,12392,12502,98,0.79%,16,12502,942,12501,12505,12749,7591,,一般,,
2020/09/01,TX,202103  ,12350,12350,12300,12300,-104,-0.84%,7,-,-,12362,12376,12749,7591,,盤後,,
2020/09/01,TX,202106  ,12350,12406,12300,12406,95,0.77%,50,12406,291,12401,12407,12659,10843,,一般,,
2020/09/01,TX,202106  ,12275,12289,12204,12270,-41,-0.33%,16,-,-,12267,12280,12659,10843,,盤後,,
2020/09/02,TX,202009  ,12765,12776,12595,12691,3,0.02%,127417,12690,85421,12690,12692,12972,7782,,一般,,
2020/09/02,TX,202009  ,12694,12738,12665,12735,47,0.37%,27862,-,-,12734,12735,12972,7782,,盤後,,
2020/09/02,TX,202010  ,12716,12729,12550,12644,4,0.03%,1772,12642,4836,12640,12644,12919,11820,,一般,,
2020/09/02,TX,202010  ,12657,12690,12619,12689,49,0.39%,306,-,-,12686,12690,12919,11820,,盤後,,
2020/09/02,TX,202011  ,12692,12700,12530,12619,0,0.00%,80,12617,459,12616,12619,12840,12016,,一般,,
2020/09/02,TX,202011  ,12625,12661,12620,12661,42,0.33%,17,-,-,12662,12667,12840,12016,,盤後,,
2020/09/02,TX,202012  ,12652,12672,12506,12593,3,0.02%,76,12593,4206,12590,12594,12845,7655,,一般,,
2020/09/02,TX,202012  ,12607,12630,12597,12626,36,0.29%,9,-,-,12636,12640,12845,7655,,盤後,,
2020/09/02,TX,202103  ,12568,12568,12411,12498,-4,-0.03%,25,12498,955,12494,12499,12749,7591,,一般,,
2020/09/02,TX,202103  ,12515,12543,12485,12543,41,0.33%,7,-,-,12544,12550,12749,7591,,盤後,,
2020/09/02,TX,202106  ,12472,12472,12302,12401,-5,-0.04%,28,12401,293,12394,12399,12659,10843,,一般,,
2020/09/02,TX,202106  ,12392,12443,12392,12443,37,0.30%,15,-,-,12442,12451,12659,10843,,盤後,,
2020/09/03,TX,202009  ,12792,12858,12705,12732,42,0.33%,130555,12734,86141,12732,12735,12972,7782,,一般,,
2020/09/03,TX,202009  ,12691,12797,12650,12770,80,0.63%,43702,-,-,12770,12771,12972,7782,,盤後,,
2020/09/03,TX,202010  ,12738,12805,12658,12682,40,0.32%,1681,12683,5668,12681,12685,12919,11820,,一般,,
2020/09/03,TX,202010  ,12637,12745,12602,12719,77,0.61%,533,-,-,12719,12722,12919,11820,,盤後,,
2020/09/03,TX,202011  ,12712,12771,12639,12662,45,0.36%,83,12662,492,12656,12661,12840,12016,,一般,,
2020/09/03,TX,202011  ,12608,12720,12607,12718,101,0.80%,11,-,-,12694,12698,12840,12016,,盤後,,
2020/09/03,TX,202012  ,12688,12753,12614,12649,56,0.44%,79,12633,4237,12630,12636,12845,7655,,一般,,
2020/09/03,TX,202012  ,12600,12678,12600,12678,85,0.67%,12,-,-,12669,12673,12845,7655,,盤後,,
2020/09/03,TX,202103  ,12596,12650,12517,12517,19,0.15%,19,12535,956,12531,12539,12749,7591,,一般,,
2020/09/03,TX,202103  ,12506,12523,12506,12523,25,0.20%,2,-,-,12570,12577,12749,7591,,盤後,,
2020/09/03,TX,202106  ,12504,12552,12433,12447,46,0.37%,79,12437,319,12433,12442,12659,10843,,一般,,
2020/09/03,TX,202106  ,12391,12494,12388,12494,93,0.75%,9,-,-,12465,12479,12659,10843,,盤後,,
2020/09/04,TX,202009  ,12558,12651,12510,12606,-128,-1.01%,130795,12607,86216,12606,12608,12972,7782,,一般,,
2020/09/04,TX,202009  ,12745,12758,12484,12579,-155,-1.22%,79942,-,-,12578,12580,12972,7782,,盤後,,
2020/09/04,TX,202010  ,12500,12600,12466,12557,-126,-0.99%,1854,12558,6846,12555,12558,12919,11820,,一般,,
2020/09/04,TX,202010  ,12689,12707,12440,12531,-152,-1.20%,1037,-,-,12528,12530,12919,11820,,盤後,,
2020/09/04,TX,202011  ,12475,12570,12450,12539,-123,-0.97%,79,12539,523,12531,12536,12840,12016,,一般,,
2020/09/04,TX,202011  ,12683,12683,12450,12512,-150,-1.18%,54,-,-,12504,12508,12840,12016,,盤後,,
2020/09/04,TX,202012  ,12467,12550,12430,12510,-123,-0.97%,60,12510,4266,12506,12510,12845,7655,,一般,,
2020/09/04,TX,202012  ,12638,12653,12420,12520,-113,-0.89%,42,-,-,12478,12483,12845,7655,,盤後,,
2020/09/04,TX,202103  ,12350,12450,12330,12431,-104,-0.83%,28,12414,953,12411,12418,12749,7591,,一般,,
2020/09/04,TX,202103  ,12550,12550,12357,12400,-135,-1.08%,6,-,-,12382,12392,12749,7591,,盤後,,
2020/09/04,TX,202106  ,12278,12352,12240,12313,-124,-1.00%,29,12313,333,12311,12317,12659,10843,,一般,,
2020/09/04,TX,202106  ,12437,12437,12200,12303,-134,-1.08%,23,-,-,12284,12293,12659,10843,,盤後,,
2020/09/07,TX,202009  ,12608,12733,12560,12582,-25,-0.20%,137459,12580,84294,12579,12582,12972,7782,,一般,,
2020/09/07,TX,202009  ,12607,12671,12497,12581,-26,-0.21%,84729,-,-,12578,12581,12972,7782,,盤後,,
2020/09/07,TX,202010  ,12542,12680,12510,12528,-30,-0.24%,2275,12528,7613,12528,12531,12919,11820,,一般,,
2020/09/07,TX,202010  ,12543,12619,12450,12528,-30,-0.24%,975,-,-,12526,12532,12919,11820,,盤後,,
2020/09/07,TX,202011  ,12557,12650,12490,12505,-34,-0.27%,91,12505,556,12503,12508,12840,12016,,一般,,
2020/09/07,TX,202011  ,12539,12595,12435,12520,-19,-0.15%,53,-,-,12503,12509,12840,12016,,盤後,,
2020/09/07,TX,202012  ,12530,12620,12468,12479,-31,-0.25%,98,12480,4280,12477,12482,12845,7655,,一般,,
2020/09/07,TX,202012  ,12502,12559,12401,12481,-29,-0.23%,35,-,-,12477,12483,12845,7655,,盤後,,
2020/09/07,TX,202103  ,12450,12530,12375,12388,-26,-0.21%,31,12388,957,12382,12388,12749,7591,,一般,,
2020/09/07,TX,202103  ,12465,12469,12315,12451,37,0.30%,24,-,-,12385,12390,12749,7591,,盤後,,
2020/09/07,TX,202106  ,12342,12425,12268,12295,-18,-0.15%,16,12286,326,12284,12289,12659,10843,,一般,,
2020/09/07,TX,202106  ,12308,12372,12259,12303,-10,-0.08%,19,-,-,12283,12291,12659,10843,,盤後,,
2020/09/08,TX,202009  ,12657,12695,12610,12667,87,0.69%,110554,12667,86295,12667,12669,12972,7782,,一般,,
2020/09/08,TX,202009  ,12561,12656,12537,12635,55,0.44%,23875,-,-,12634,12635,12972,7782,,盤後,,
2020/09/08,TX,202010  ,12616,12640,12560,12615,87,0.69%,1932,12614,8748,12613,12616,12919,11820,,一般,,
2020/09/08,TX,202010  ,12512,12601,12488,12586,58,0.46%,387,-,-,12581,12585,12919,11820,,盤後,,
2020/09/08,TX,202011  ,12585,12610,12540,12581,76,0.61%,57,12588,557,12586,12590,12840,12016,,一般,,
2020/09/08,TX,202011  ,12488,12520,12480,12520,15,0.12%,13,-,-,12558,12561,12840,12016,,盤後,,
2020/09/08,TX,202012  ,12559,12589,12508,12559,79,0.63%,410,12559,4557,12558,12561,12845,7655,,一般,,
2020/09/08,TX,202012  ,12493,12548,12493,12548,68,0.54%,12,-,-,12532,12535,12845,7655,,盤後,,
2020/09/08,TX,202103  ,12467,12493,12416,12466,78,0.63%,25,12466,959,12462,12466,12749,7591,,一般,,
2020/09/08,TX,202103  ,12373,12419,12373,12419,31,0.25%,3,-,-,12438,12442,12749,7591,,盤後,,
2020/09/08,TX,202106  ,12365,12371,12339,12360,74,0.60%,17,12360,324,12364,12370,12659,10843,,一般,,
2020/09/08,TX,202106  ,12283,12355,12268,12355,69,0.56%,9,-,-,12338,12342,12659,10843,,盤後,,
