交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2021/12/01,TX,202112  ,17350,17617,17333,17586,256,1.48%,103548,17584,78139,17584,17586,17949,13184,,一般,,
2021/12/01,TX,202112  ,17291,17400,17209,17299,-31,-0.18%,76003,-,-,17299,17300,17949,13184,,盤後,,
2021/12/01,TX,202201  ,17300,17567,17286,17536,256,1.48%,1353,17538,7479,17533,17538,17902,16656,,一般,,
2021/12/01,TX,202201  ,17238,17350,17166,17231,-49,-0.28%,800,-,-,17251,17255,17902,16656,,盤後,,
2021/12/01,TX,202202  ,17293,17535,17280,17500,247,1.43%,138,17500,541,17504,17509,17868,17000,,一般,,
2021/12/01,TX,202202  ,17169,17320,17148,17208,-45,-0.26%,85,-,-,17221,17226,17868,17000,,盤後,,
2021/12/01,TX,202203  ,17245,17480,17230,17448,243,1.41%,140,17448,3125,17450,17455,17817,14054,,一般,,
2021/12/01,TX,202203  ,17114,17256,17099,17167,-38,-0.22%,33,-,-,17167,17172,17817,14054,,盤後,,
2021/12/01,TX,202206  ,17142,17363,17097,17339,257,1.50%,45,17339,551,17335,17340,17672,15801,,一般,,
2021/12/01,TX,202206  ,17028,17152,17005,17005,-77,-0.45%,4,-,-,17063,17069,17672,15801,,盤後,,
2021/12/01,TX,202209  ,16766,16947,16766,16944,249,1.49%,31,16944,193,16940,16945,17264,15550,,一般,,
2021/12/01,TX,202209  ,16660,16730,16609,16636,-59,-0.35%,6,-,-,16659,16667,17264,15550,,盤後,,
2021/12/02,TX,202112  ,17570,17709,17509,17705,121,0.69%,108997,17704,74555,17705,17707,17949,13184,,一般,,
2021/12/02,TX,202112  ,17590,17702,17500,17500,-84,-0.48%,47074,-,-,17499,17500,17949,13184,,盤後,,
2021/12/02,TX,202201  ,17500,17655,17461,17649,111,0.63%,1703,17648,8583,17649,17652,17902,16656,,一般,,
2021/12/02,TX,202201  ,17546,17649,17454,17458,-80,-0.46%,784,-,-,17452,17453,17902,16656,,盤後,,
2021/12/02,TX,202202  ,17485,17620,17472,17618,118,0.67%,50,17618,565,17619,17624,17868,17000,,一般,,
2021/12/02,TX,202202  ,17520,17613,17440,17440,-60,-0.34%,31,-,-,17418,17423,17868,17000,,盤後,,
2021/12/02,TX,202203  ,17414,17570,17400,17559,111,0.64%,173,17568,3161,17566,17571,17817,14054,,一般,,
2021/12/02,TX,202203  ,17479,17520,17390,17390,-58,-0.33%,9,-,-,17364,17369,17817,14054,,盤後,,
2021/12/02,TX,202206  ,17311,17438,17311,17410,71,0.41%,12,17453,555,17450,17457,17672,15801,,一般,,
2021/12/02,TX,202206  ,17344,17344,17266,17266,-73,-0.42%,2,-,-,17250,17257,17672,15801,,盤後,,
2021/12/02,TX,202209  ,16903,17050,16903,17050,106,0.63%,19,17050,190,17047,17050,17264,15550,,一般,,
2021/12/02,TX,202209  ,17030,17030,16900,16900,-44,-0.26%,2,-,-,16851,16859,17264,15550,,盤後,,
2021/12/03,TX,202112  ,17696,17745,17621,17706,2,0.01%,79145,17706,74005,17705,17706,17949,13184,,一般,,
2021/12/03,TX,202112  ,17742,17775,17658,17745,41,0.23%,57974,-,-,17744,17746,17949,13184,,盤後,,
2021/12/03,TX,202201  ,17656,17689,17569,17650,2,0.01%,1196,17652,9120,17649,17652,17902,16656,,一般,,
2021/12/03,TX,202201  ,17674,17717,17606,17685,37,0.21%,789,-,-,17688,17693,17902,16656,,盤後,,
2021/12/03,TX,202202  ,17590,17652,17545,17620,2,0.01%,66,17620,598,17619,17622,17868,17000,,一般,,
2021/12/03,TX,202202  ,17656,17680,17580,17680,62,0.35%,54,-,-,17657,17663,17868,17000,,盤後,,
2021/12/03,TX,202203  ,17570,17600,17488,17571,3,0.02%,68,17571,3174,17566,17570,17817,14054,,一般,,
2021/12/03,TX,202203  ,17599,17620,17537,17565,-3,-0.02%,26,-,-,17604,17610,17817,14054,,盤後,,
