交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2018/11/01,TX,201811  ,9750,9827,9705,9787,62,0.64%,140555,9788,88528,9787,9788,11087,9326,,一般,,
2018/11/01,TX,201811  ,9721,9779,9714,9742,17,0.17%,40480,-,-,9740,9742,11087,9326,,盤後,,
2018/11/01,TX,201812  ,9728,9812,9693,9776,64,0.66%,1905,9776,5163,9774,9776,11065,9318,,一般,,
2018/11/01,TX,201812  ,9710,9765,9708,9729,17,0.18%,467,-,-,9726,9730,11065,9318,,盤後,,
2018/11/01,TX,201901  ,9715,9795,9684,9761,64,0.66%,183,9761,1003,9760,9763,9946,9325,,一般,,
2018/11/01,TX,201901  ,9698,9742,9693,9710,13,0.13%,109,-,-,9713,9718,9946,9325,,盤後,,
2018/11/01,TX,201903  ,9685,9760,9649,9733,68,0.70%,187,9733,3143,9728,9731,11002,9290,,一般,,
2018/11/01,TX,201903  ,9673,9716,9664,9683,18,0.19%,85,-,-,9680,9685,11002,9290,,盤後,,
2018/11/01,TX,201906  ,9656,9714,9603,9692,62,0.64%,105,9681,1512,9679,9683,10950,9231,,一般,,
2018/11/01,TX,201906  ,9627,9666,9627,9649,19,0.20%,67,-,-,9634,9639,10950,9231,,盤後,,
2018/11/01,TX,201909  ,9236,9350,9236,9313,65,0.70%,20,9313,659,9310,9315,10521,8881,,一般,,
2018/11/01,TX,201909  ,9260,9301,9260,9301,53,0.57%,6,-,-,9265,9271,10521,8881,,盤後,,
2018/11/02,TX,201811  ,9868,9884,9791,9874,86,0.88%,153413,9872,89739,9874,9875,11087,9326,,一般,,
2018/11/02,TX,201811  ,9771,9866,9752,9839,51,0.52%,46660,-,-,9838,9843,11087,9326,,盤後,,
2018/11/02,TX,201812  ,9850,9868,9780,9861,85,0.87%,2248,9859,5164,9859,9861,11065,9318,,一般,,
2018/11/02,TX,201812  ,9757,9852,9740,9825,49,0.50%,637,-,-,9823,9831,11065,9318,,盤後,,
2018/11/02,TX,201901  ,9840,9845,9770,9839,78,0.80%,126,9839,1008,9845,9848,9946,9325,,一般,,
2018/11/02,TX,201901  ,9750,9838,9738,9813,52,0.53%,84,-,-,9810,9818,9946,9325,,盤後,,
2018/11/02,TX,201903  ,9800,9815,9740,9806,73,0.75%,233,9806,3159,9811,9815,11002,9290,,一般,,
2018/11/02,TX,201903  ,9717,9803,9700,9781,48,0.49%,52,-,-,9779,9786,11002,9290,,盤後,,
2018/11/02,TX,201906  ,9751,9763,9691,9760,79,0.82%,133,9760,1476,9760,9764,10950,9231,,一般,,
2018/11/02,TX,201906  ,9665,9749,9648,9726,45,0.46%,21,-,-,9730,9737,10950,9231,,盤後,,
2018/11/02,TX,201909  ,9400,9400,9325,9386,73,0.78%,48,9396,683,9395,9398,10521,8881,,一般,,
2018/11/02,TX,201909  ,9295,9386,9295,9386,73,0.78%,13,-,-,9362,9370,10521,8881,,盤後,,
2018/11/05,TX,201811  ,9803,9824,9741,9817,-55,-0.56%,145973,9817,86752,9816,9818,11087,9326,,一般,,
2018/11/05,TX,201811  ,9883,9931,9773,9833,-39,-0.40%,67668,-,-,9833,9835,11087,9326,,盤後,,
2018/11/05,TX,201812  ,9799,9809,9729,9802,-57,-0.58%,2202,9801,5517,9800,9803,11065,9318,,一般,,
2018/11/05,TX,201812  ,9868,9917,9760,9822,-37,-0.38%,956,-,-,9818,9822,11065,9318,,盤後,,
2018/11/05,TX,201901  ,9765,9792,9715,9792,-47,-0.48%,124,9792,1096,9787,9790,9946,9325,,一般,,
2018/11/05,TX,201901  ,9859,9900,9762,9814,-25,-0.25%,94,-,-,9805,9809,9946,9325,,盤後,,
