交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2022/08/01,TX,202208  ,14921,14940,14804,14870,-70,-0.47%,89819,14870,68379,14868,14871,16161,13700,,一般,,
2022/08/01,TX,202208  ,14931,14999,14874,14967,27,0.18%,40828,-,-,14967,14973,16161,13700,,盤後,,
2022/08/01,TX,202209  ,14861,14875,14741,14811,-58,-0.39%,973,14811,5231,14804,14810,18005,13651,,一般,,
2022/08/01,TX,202209  ,14863,14926,14807,14896,27,0.18%,397,-,-,14896,14905,18005,13651,,盤後,,
2022/08/01,TX,202210  ,14796,14838,14725,14782,-56,-0.38%,78,14782,107,14771,14778,14888,14481,,一般,,
2022/08/01,TX,202210  ,14840,14888,14790,14888,50,0.34%,29,-,-,14861,14871,14888,14481,,盤後,,
2022/08/01,TX,202212  ,14731,14757,14668,14729,-28,-0.19%,28,14697,1381,14694,14701,17888,13566,,一般,,
2022/08/01,TX,202212  ,14700,14810,14700,14810,53,0.36%,5,-,-,14786,14797,17888,13566,,盤後,,
2022/08/01,TX,202303  ,14657,14680,14593,14668,-17,-0.12%,14,14622,818,14619,14626,17000,13495,,一般,,
2022/08/01,TX,202303  ,14653,14676,14653,14676,-9,-0.06%,2,-,-,14710,14720,17000,13495,,盤後,,
2022/08/01,TX,202306  ,14515,14535,14501,14535,-25,-0.17%,6,14497,104,14494,14501,15417,13426,,一般,,
2022/08/01,TX,202306  ,14577,14577,14577,14577,17,0.12%,1,-,-,14582,14594,15417,13426,,盤後,,
2022/08/02,TX,202208  ,14767,14778,14589,14643,-227,-1.53%,108928,14645,70162,14640,14644,16161,13700,,一般,,
2022/08/02,TX,202208  ,14889,14910,14758,14809,-61,-0.41%,53032,-,-,14807,14811,16161,13700,,盤後,,
2022/08/02,TX,202209  ,14712,14713,14543,14591,-220,-1.49%,1027,14590,5431,14589,14593,18005,13651,,一般,,
2022/08/02,TX,202209  ,14823,14843,14700,14748,-63,-0.43%,418,-,-,14747,14755,18005,13651,,盤後,,
2022/08/02,TX,202210  ,14653,14653,14521,14578,-204,-1.38%,49,14563,156,14559,14567,14888,14481,,一般,,
2022/08/02,TX,202210  ,14794,14800,14670,14727,-55,-0.37%,54,-,-,14716,14725,14888,14481,,盤後,,
2022/08/02,TX,202212  ,14600,14600,14455,14490,-207,-1.41%,25,14490,1394,14482,14490,17888,13566,,一般,,
2022/08/02,TX,202212  ,14723,14723,14618,14652,-45,-0.31%,14,-,-,14638,14648,17888,13566,,盤後,,
