交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2021/04/01,TX,202104  ,16535,16587,16452,16551,128,0.78%,115342,16549,77860,16550,16551,16587,14946,,一般,,
2021/04/01,TX,202104  ,16413,16543,16413,16523,100,0.61%,27767,-,-,16523,16525,16567,14946,,盤後,,
2021/04/01,TX,202105  ,16478,16539,16403,16499,121,0.74%,2041,16499,6432,16500,16502,16539,15450,,一般,,
2021/04/01,TX,202105  ,16377,16496,16375,16478,100,0.61%,480,-,-,16476,16480,16516,15450,,盤後,,
2021/04/01,TX,202106  ,16422,16486,16353,16450,123,0.75%,283,16450,3884,16448,16452,16486,10843,,一般,,
2021/04/01,TX,202106  ,16327,16444,16327,16413,86,0.53%,49,-,-,16422,16428,16455,10843,,盤後,,
2021/04/01,TX,202109  ,15968,16000,15880,15969,109,0.69%,56,15969,1895,15972,15976,16000,11440,,一般,,
2021/04/01,TX,202109  ,15857,15956,15857,15956,96,0.61%,13,-,-,15943,15954,15960,11440,,盤後,,
2021/04/01,TX,202112  ,15790,15808,15700,15778,112,0.71%,27,15778,503,15780,15785,15808,13184,,一般,,
2021/04/01,TX,202112  ,15673,15715,15673,15715,49,0.31%,5,-,-,15756,15764,15780,13184,,盤後,,
2021/04/01,TX,202203  ,15542,15607,15542,15557,44,0.28%,4,15628,175,15625,15632,15638,14972,,一般,,
2021/04/01,TX,202203  ,15549,15600,15549,15600,87,0.56%,3,-,-,15601,15611,15638,14972,,盤後,,
2021/04/06,TX,202104  ,16760,16840,16697,16731,182,1.10%,103549,16728,78295,16729,16731,16840,14946,,一般,,
2021/04/06,TX,202104  ,16580,16701,16564,16698,149,0.90%,31463,-,-,16696,16698,16701,14946,,盤後,,
2021/04/06,TX,202105  ,16722,16789,16650,16679,180,1.09%,1427,16679,6930,16680,16684,16789,15450,,一般,,
2021/04/06,TX,202105  ,16535,16650,16519,16635,136,0.82%,729,-,-,16647,16649,16650,15450,,盤後,,
2021/04/06,TX,202106  ,16652,16715,16600,16628,178,1.08%,194,16628,4007,16628,16631,16715,10843,,一般,,
2021/04/06,TX,202106  ,16470,16599,16466,16563,113,0.69%,114,-,-,16594,16597,16599,10843,,盤後,,
2021/04/06,TX,202109  ,16180,16250,16129,16158,189,1.18%,65,16158,1898,16154,16160,16250,11440,,一般,,
2021/04/06,TX,202109  ,16012,16119,16012,16090,121,0.76%,19,-,-,16116,16126,16119,11440,,盤後,,
2021/04/06,TX,202112  ,15998,16066,15940,15975,197,1.25%,39,15975,509,15966,15974,16066,13184,,一般,,
2021/04/06,TX,202112  ,15808,15912,15808,15912,134,0.85%,16,-,-,15926,15931,15912,13184,,盤後,,
2021/04/06,TX,202203  ,15845,15868,15800,15825,197,1.26%,49,15825,209,15814,15826,15868,14972,,一般,,
2021/04/06,TX,202203  ,15711,15772,15666,15756,128,0.82%,26,-,-,15771,15779,15772,14972,,盤後,,
2021/04/07,TX,202104  ,16777,16788,16673,16768,40,0.24%,93030,16767,75515,16767,16768,16840,14946,,一般,,
2021/04/07,TX,202104  ,16742,16795,16715,16745,17,0.10%,23073,-,-,16745,16749,16840,14946,,盤後,,
2021/04/07,TX,202105  ,16720,16740,16629,16721,42,0.25%,1013,16720,7229,16721,16723,16789,15450,,一般,,
2021/04/07,TX,202105  ,16687,16743,16672,16699,20,0.12%,361,-,-,16699,16702,16789,15450,,盤後,,
2021/04/07,TX,202106  ,16681,16685,16578,16670,42,0.25%,153,16670,4066,16668,16672,16715,10843,,一般,,
2021/04/07,TX,202106  ,16622,16688,16622,16628,0,0.00%,30,-,-,16646,16650,16715,10843,,盤後,,
2021/04/07,TX,202109  ,16184,16209,16110,16199,41,0.25%,69,16199,1903,16195,16199,16250,11440,,一般,,
2021/04/07,TX,202109  ,16157,16198,16157,16171,13,0.08%,6,-,-,16171,16180,16250,11440,,盤後,,
2021/04/07,TX,202112  ,16020,16024,15936,16016,41,0.26%,26,16016,521,16010,16016,16066,13184,,一般,,
2021/04/07,TX,202112  ,15980,16013,15980,15984,9,0.06%,4,-,-,15987,15996,16066,13184,,盤後,,
2021/04/07,TX,202203  ,15800,15849,15800,15849,24,0.15%,2,15860,221,15855,15865,15875,14972,,一般,,
2021/04/07,TX,202203  ,15858,15875,15858,15875,50,0.32%,14,-,-,15833,15844,15875,14972,,盤後,,
2021/04/08,TX,202104  ,16715,16930,16687,16930,163,0.97%,111596,16927,78584,16929,16930,16930,14946,,一般,,
2021/04/08,TX,202104  ,16765,16773,16703,16730,-37,-0.22%,23020,-,-,16729,16731,16840,14946,,盤後,,
2021/04/08,TX,202105  ,16661,16885,16644,16885,165,0.99%,2168,16885,7856,16883,16886,16885,15450,,一般,,
2021/04/08,TX,202105  ,16721,16725,16660,16690,-30,-0.18%,266,-,-,16682,16687,16789,15450,,盤後,,
2021/04/08,TX,202106  ,16625,16825,16600,16825,155,0.93%,123,16833,4088,16832,16834,16825,10843,,一般,,
2021/04/08,TX,202106  ,16671,16673,16618,16620,-50,-0.30%,16,-,-,16631,16638,16715,10843,,盤後,,
2021/04/08,TX,202109  ,16138,16350,16138,16348,149,0.92%,61,16361,1907,16360,16363,16350,11440,,一般,,
2021/04/08,TX,202109  ,16200,16200,16138,16145,-54,-0.33%,8,-,-,16157,16164,16250,11440,,盤後,,
2021/04/08,TX,202112  ,15989,16171,15988,16171,155,0.97%,55,16171,541,16176,16184,16171,13184,,一般,,
2021/04/08,TX,202112  ,15988,15988,15980,15980,-36,-0.22%,3,-,-,15973,15981,16066,13184,,盤後,,
2021/04/08,TX,202203  ,15826,16017,15826,16017,157,0.99%,58,16017,223,16022,16035,16017,14972,,一般,,
2021/04/08,TX,202203  ,15801,15801,15800,15800,-60,-0.38%,2,-,-,15817,15829,15875,14972,,盤後,,
2021/04/09,TX,202104  ,16952,16971,16810,16841,-86,-0.51%,103181,16839,74391,16837,16841,16977,14946,,一般,,
2021/04/09,TX,202104  ,16930,16977,16906,16947,20,0.12%,24279,-,-,16946,16947,16977,14946,,盤後,,
2021/04/09,TX,202105  ,16904,16928,16774,16801,-84,-0.50%,1947,16800,8872,16796,16801,16930,15450,,一般,,
2021/04/09,TX,202105  ,16900,16930,16866,16902,17,0.10%,499,-,-,16901,16905,16930,15450,,盤後,,
2021/04/09,TX,202106  ,16857,16880,16737,16750,-83,-0.49%,281,16750,4170,16752,16759,16881,10843,,一般,,
2021/04/09,TX,202106  ,16832,16881,16817,16858,25,0.15%,27,-,-,16852,16859,16881,10843,,盤後,,
2021/04/09,TX,202109  ,16395,16395,16268,16289,-72,-0.44%,70,16289,1906,16281,16291,16396,11440,,一般,,
2021/04/09,TX,202109  ,16355,16396,16355,16396,35,0.21%,24,-,-,16378,16389,16396,11440,,盤後,,
2021/04/09,TX,202112  ,16224,16224,16098,16109,-62,-0.38%,34,16109,559,16108,16116,16225,13184,,一般,,
2021/04/09,TX,202112  ,16183,16225,16183,16225,54,0.33%,4,-,-,16196,16210,16225,13184,,盤後,,
2021/04/09,TX,202203  ,16058,16058,15950,15979,-38,-0.24%,6,15965,223,15959,15971,16073,14972,,一般,,
2021/04/09,TX,202203  ,16023,16073,16017,16073,56,0.35%,20,-,-,16048,16056,16073,14972,,盤後,,
2021/04/12,TX,202104  ,16895,16965,16760,16834,-5,-0.03%,113383,16835,73388,16834,16835,16977,14946,,一般,,
2021/04/12,TX,202104  ,16833,16917,16826,16904,65,0.39%,23215,-,-,16903,16905,16977,14946,,盤後,,
2021/04/12,TX,202105  ,16863,16924,16725,16793,-7,-0.04%,2257,16792,9696,16793,16795,16930,15450,,一般,,
2021/04/12,TX,202105  ,16845,16874,16789,16862,62,0.37%,396,-,-,16862,16867,16930,15450,,盤後,,
2021/04/12,TX,202106  ,16805,16877,16678,16748,-2,-0.01%,295,16748,4371,16746,16748,16881,10843,,一般,,
2021/04/12,TX,202106  ,16750,16828,16750,16819,69,0.41%,27,-,-,16819,16822,16881,10843,,盤後,,
2021/04/12,TX,202109  ,16356,16405,16220,16302,13,0.08%,66,16285,1923,16282,16288,16405,11440,,一般,,
2021/04/12,TX,202109  ,16280,16350,16280,16350,61,0.37%,3,-,-,16344,16356,16396,11440,,盤後,,
2021/04/12,TX,202112  ,16196,16236,16044,16105,-4,-0.02%,45,16105,584,16106,16112,16236,13184,,一般,,
2021/04/12,TX,202112  ,16116,16116,16116,16116,7,0.04%,1,-,-,16175,16180,16225,13184,,盤後,,
2021/04/12,TX,202203  ,16010,16070,15945,15976,11,0.07%,28,15976,226,15962,15971,16073,14972,,一般,,
2021/04/12,TX,202203  ,15980,16025,15980,16022,57,0.36%,6,-,-,16022,16035,16073,14972,,盤後,,
2021/04/13,TX,202104  ,16910,17046,16780,16795,-40,-0.24%,150603,16793,73210,16792,16795,17046,14946,,一般,,
2021/04/13,TX,202104  ,16845,16899,16801,16882,47,0.28%,25706,-,-,16882,16885,16977,14946,,盤後,,
2021/04/13,TX,202105  ,16859,17000,16741,16755,-37,-0.22%,3522,16753,11034,16753,16756,17000,15450,,一般,,
2021/04/13,TX,202105  ,16798,16855,16762,16845,53,0.32%,401,-,-,16841,16845,16930,15450,,盤後,,
2021/04/13,TX,202106  ,16829,16950,16698,16708,-40,-0.24%,585,16708,4627,16707,16712,16950,10843,,一般,,
2021/04/13,TX,202106  ,16748,16807,16726,16807,59,0.35%,21,-,-,16794,16799,16881,10843,,盤後,,
2021/04/13,TX,202109  ,16342,16474,16245,16245,-40,-0.25%,118,16245,1941,16242,16250,16474,11440,,一般,,
2021/04/13,TX,202109  ,16320,16320,16289,16310,25,0.15%,6,-,-,16329,16338,16405,11440,,盤後,,
2021/04/13,TX,202112  ,16179,16302,16076,16076,-29,-0.18%,57,16076,613,16075,16083,16302,13184,,一般,,
2021/04/13,TX,202112  ,16115,16115,16115,16115,10,0.06%,1,-,-,16155,16163,16236,13184,,盤後,,
2021/04/13,TX,202203  ,16037,16140,15940,15940,-36,-0.23%,24,15940,237,15935,15944,16140,14972,,一般,,
2021/04/13,TX,202203  ,15980,16013,15950,15950,-26,-0.16%,14,-,-,16014,16028,16073,14972,,盤後,,
2021/04/14,TX,202104  ,16860,16917,16592,16856,63,0.38%,185298,16857,68160,16855,16856,17046,14946,,一般,,
2021/04/14,TX,202104  ,16807,16875,16784,16862,69,0.41%,28954,-,-,16862,16864,17046,14946,,盤後,,
2021/04/14,TX,202105  ,16819,16875,16553,16814,61,0.36%,5660,16815,11916,16814,16815,17000,15450,,一般,,
2021/04/14,TX,202105  ,16755,16833,16745,16828,75,0.45%,595,-,-,16821,16826,17000,15450,,盤後,,
2021/04/14,TX,202106  ,16773,16831,16520,16769,61,0.37%,572,16769,4709,16766,16770,16950,10843,,一般,,
2021/04/14,TX,202106  ,16723,16785,16713,16772,64,0.38%,45,-,-,16777,16782,16950,10843,,盤後,,
2021/04/14,TX,202109  ,16335,16351,16060,16307,62,0.38%,71,16307,1951,16303,16309,16474,11440,,一般,,
2021/04/14,TX,202109  ,16253,16295,16253,16295,50,0.31%,9,-,-,16309,16323,16474,11440,,盤後,,
2021/04/14,TX,202112  ,16142,16190,15897,16140,64,0.40%,50,16140,631,16138,16144,16302,13184,,一般,,
2021/04/14,TX,202112  ,16121,16155,16100,16155,79,0.49%,6,-,-,16146,16155,16302,13184,,盤後,,
2021/04/14,TX,202203  ,16006,16041,15776,16004,64,0.40%,24,16004,239,16004,16010,16140,14972,,一般,,
2021/04/14,TX,202203  ,15940,15964,15940,15964,24,0.15%,4,-,-,16006,16017,16140,14972,,盤後,,
2021/04/15,TX,202104  ,16881,17074,16852,17071,214,1.27%,132033,17069,69647,17070,17071,17074,14946,,一般,,
2021/04/15,TX,202104  ,16859,16921,16826,16850,-7,-0.04%,30679,-,-,16850,16853,17046,14946,,盤後,,
2021/04/15,TX,202105  ,16836,17028,16810,17024,209,1.24%,4702,17024,12439,17025,17027,17028,15450,,一般,,
2021/04/15,TX,202105  ,16822,16878,16787,16812,-3,-0.02%,1246,-,-,16806,16813,17000,15450,,盤後,,
