交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2025/07/01,TX,202507  ,22197,22593,22191,22353,209,0.94%,86050,22352,107188,22350,22353,22593,18558,,一般,,
2025/07/01,TX,202507  ,22138,22160,22013,22160,16,0.07%,28118,-,-,22154,22161,22263,18558,,盤後,,
2025/07/01,TX,202508  ,22021,22411,22021,22174,207,0.94%,1609,22174,4754,22171,22175,22411,20375,,一般,,
2025/07/01,TX,202508  ,21951,21990,21851,21990,23,0.10%,396,-,-,21986,21997,22088,20375,,盤後,,
2025/07/01,TX,202509  ,21917,22285,21917,22065,216,0.99%,78,22065,1551,22066,22072,23902,16850,,一般,,
2025/07/01,TX,202509  ,21830,21861,21770,21807,-42,-0.19%,13,-,-,21874,21887,23902,16850,,盤後,,
2025/07/01,TX,202512  ,22012,22140,21884,21931,214,0.99%,20,21931,510,21924,21932,24048,16873,,一般,,
2025/07/01,TX,202512  ,21701,21712,21637,21694,-23,-0.11%,13,-,-,21745,21758,24048,16873,,盤後,,
2025/07/01,TX,202603  ,21694,22001,21694,21804,190,0.88%,8,21829,208,21825,21833,22263,17068,,一般,,
2025/07/01,TX,202603  ,21591,21611,21546,21593,-21,-0.10%,5,-,-,21644,21658,22263,17068,,盤後,,
2025/07/01,TX,202606  ,21900,21900,21900,21900,399,1.86%,4,21728,16,21702,21754,21900,20819,,一般,,
2025/07/01,TX,202606  ,-,-,-,-,-,-,0,-,-,21509,21595,21640,20819,,盤後,,
2025/07/02,TX,202507  ,22298,22401,22208,22396,44,0.20%,47593,22393,105700,22393,22395,22593,18558,,一般,,
2025/07/02,TX,202507  ,22350,22409,22219,22293,-59,-0.26%,36231,-,-,22294,22302,22593,18558,,盤後,,
2025/07/02,TX,202508  ,22132,22224,22040,22220,46,0.21%,677,22220,4967,22217,22220,22411,20375,,一般,,
2025/07/02,TX,202508  ,22174,22227,22050,22140,-34,-0.15%,456,-,-,22118,22130,22411,20375,,盤後,,
2025/07/02,TX,202509  ,22027,22109,21958,22109,44,0.20%,16,22109,1559,22111,22115,23902,16850,,一般,,
2025/07/02,TX,202509  ,22080,22095,21943,22015,-50,-0.23%,16,-,-,22012,22024,23902,16850,,盤後,,
2025/07/02,TX,202512  ,21833,21968,21833,21968,37,0.17%,3,21968,499,21969,21974,24048,16873,,一般,,
2025/07/02,TX,202512  ,21982,21982,21875,21875,-56,-0.26%,14,-,-,21866,21883,24048,16873,,盤後,,
2025/07/02,TX,202603  ,21732,21850,21721,21850,21,0.10%,5,21874,207,21872,21876,22263,17068,,一般,,
2025/07/02,TX,202603  ,21813,21828,21796,21796,-33,-0.15%,9,-,-,21772,21787,22263,17068,,盤後,,
2025/07/02,TX,202606  ,21651,21768,21645,21768,40,0.18%,4,21782,20,21760,21805,21900,20819,,一般,,
2025/07/02,TX,202606  ,21715,21715,21715,21715,-13,-0.06%,1,-,-,21658,21715,21900,20819,,盤後,,
2025/07/03,TX,202507  ,22568,22716,22547,22675,282,1.26%,53951,22680,105475,22675,22677,22716,18558,,一般,,
2025/07/03,TX,202507  ,22390,22582,22281,22570,177,0.79%,35769,-,-,22570,22579,22593,18558,,盤後,,
2025/07/03,TX,202508  ,22397,22535,22375,22506,286,1.29%,1044,22506,5342,22497,22502,22535,20375,,一般,,
2025/07/03,TX,202508  ,22217,22402,22111,22402,182,0.82%,433,-,-,22392,22405,22411,20375,,盤後,,
2025/07/03,TX,202509  ,22273,22420,22273,22390,281,1.27%,40,22390,1558,22386,22392,23902,16850,,一般,,
2025/07/03,TX,202509  ,22106,22288,22095,22287,178,0.81%,37,-,-,22285,22297,23902,16850,,盤後,,
2025/07/03,TX,202512  ,22188,22275,22162,22275,307,1.40%,5,22244,492,22242,22247,24048,16873,,一般,,
2025/07/03,TX,202512  ,21907,22093,21900,22093,125,0.57%,7,-,-,22140,22155,24048,16873,,盤後,,
2025/07/03,TX,202603  ,-,-,-,-,-,-,0,22145,206,22142,22148,22263,17068,,一般,,
2025/07/03,TX,202603  ,21821,21951,21807,21951,77,0.35%,8,-,-,22042,22057,22263,17068,,盤後,,
2025/07/03,TX,202606  ,22042,22042,22042,22042,260,1.19%,1,22053,20,22030,22077,22042,20819,,一般,,
2025/07/03,TX,202606  ,21850,21850,21839,21839,57,0.26%,2,-,-,21937,21984,21900,20819,,盤後,,
2025/07/04,TX,202507  ,22739,22762,22431,22435,-245,-1.08%,56506,22436,103430,22435,22438,22874,18558,,一般,,
2025/07/04,TX,202507  ,22713,22874,22652,22793,113,0.50%,31762,-,-,22791,22794,22874,18558,,盤後,,
2025/07/04,TX,202508  ,22572,22583,22259,22268,-238,-1.06%,1155,22263,5994,22262,22267,22688,20375,,一般,,
2025/07/04,TX,202508  ,22526,22688,22477,22609,103,0.46%,699,-,-,22612,22619,22688,20375,,盤後,,
2025/07/04,TX,202509  ,22458,22458,22180,22180,-210,-0.94%,31,22155,1562,22152,22159,23902,16850,,一般,,
2025/07/04,TX,202509  ,22428,22574,22385,22503,113,0.50%,31,-,-,22500,22509,23902,16850,,盤後,,
2025/07/04,TX,202512  ,22202,22202,22202,22202,-42,-0.19%,1,22012,499,22008,22016,24048,16873,,一般,,
2025/07/04,TX,202512  ,22281,22430,22280,22357,113,0.51%,14,-,-,22354,22364,24048,16873,,盤後,,
2025/07/04,TX,202603  ,22150,22150,21934,21936,-209,-0.94%,5,21912,206,21908,21917,22331,17068,,一般,,
2025/07/04,TX,202603  ,22151,22331,22151,22280,135,0.61%,4,-,-,22253,22264,22331,17068,,盤後,,
2025/07/04,TX,202606  ,-,-,-,-,-,-,0,21823,21,21804,21843,22188,20819,,一般,,
2025/07/04,TX,202606  ,22075,22188,22075,22188,135,0.61%,2,-,-,22146,22194,22188,20819,,盤後,,
2025/07/07,TX,202507  ,22349,22506,22244,22336,-100,-0.45%,61023,22328,103756,22331,22336,22874,18558,,一般,,
2025/07/07,TX,202507  ,22430,22435,22315,22355,-81,-0.36%,26711,-,-,22356,22360,22874,18558,,盤後,,
2025/07/07,TX,202508  ,22189,22333,22075,22166,-97,-0.44%,940,22166,6274,22166,22174,22688,20375,,一般,,
2025/07/07,TX,202508  ,22228,22256,22147,22191,-72,-0.32%,540,-,-,22184,22191,22688,20375,,盤後,,
2025/07/07,TX,202509  ,22076,22224,22021,22032,-123,-0.56%,18,22061,1560,22057,22065,23902,16850,,一般,,
2025/07/07,TX,202509  ,22097,22148,22075,22115,-40,-0.18%,5,-,-,22076,22083,23902,16850,,盤後,,
2025/07/07,TX,202512  ,21909,21950,21839,21900,-112,-0.51%,46,21919,530,21914,21924,24048,16873,,一般,,
2025/07/07,TX,202512  ,21970,21998,21900,21940,-72,-0.33%,11,-,-,21927,21938,24048,16873,,盤後,,
2025/07/07,TX,202603  ,21899,21951,21758,21768,-144,-0.66%,4,21818,206,21813,21824,22331,17068,,一般,,
2025/07/07,TX,202603  ,21881,21899,21801,21801,-111,-0.51%,8,-,-,21831,21840,22331,17068,,盤後,,
2025/07/07,TX,202606  ,-,-,-,-,-,-,0,21725,23,21705,21746,22188,20819,,一般,,
2025/07/07,TX,202606  ,21778,21778,21778,21778,-45,-0.21%,2,-,-,21726,21767,22188,20819,,盤後,,
2025/07/08,TX,202507  ,22353,22397,22141,22251,-77,-0.34%,63578,22258,102521,22250,22255,22874,18558,,一般,,
2025/07/08,TX,202507  ,22312,22427,22177,22222,-106,-0.47%,45003,-,-,22220,22223,22874,18558,,盤後,,
2025/07/08,TX,202508  ,22185,22231,21987,22083,-83,-0.37%,1498,22086,6814,22082,22087,22688,20375,,一般,,
2025/07/08,TX,202508  ,22145,22255,22020,22060,-106,-0.48%,629,-,-,22059,22064,22688,20375,,盤後,,
2025/07/08,TX,202509  ,22068,22084,21891,21991,-70,-0.32%,26,21977,1560,21973,21981,23902,16850,,一般,,
2025/07/08,TX,202509  ,22115,22135,22049,22049,-12,-0.05%,17,-,-,21946,21952,23902,16850,,盤後,,
2025/07/08,TX,202512  ,21796,21855,21779,21814,-105,-0.48%,126,21814,613,21814,21819,24048,16873,,一般,,
2025/07/08,TX,202512  ,21800,21800,21800,21800,-119,-0.54%,1,-,-,21801,21809,24048,16873,,盤後,,
2025/07/08,TX,202603  ,21829,21849,21673,21747,-71,-0.33%,42,21706,213,21703,21709,22331,17068,,一般,,
2025/07/08,TX,202603  ,21849,21869,21684,21684,-134,-0.61%,11,-,-,21700,21709,22331,17068,,盤後,,
2025/07/08,TX,202606  ,-,-,-,-,-,-,0,21622,23,21600,21645,22188,20819,,一般,,
2025/07/08,TX,202606  ,-,-,-,-,-,-,0,-,-,21597,21633,22188,20819,,盤後,,
2025/07/09,TX,202507  ,22250,22473,22146,22434,176,0.79%,57715,22434,102304,22429,22433,22874,18558,,一般,,
2025/07/09,TX,202507  ,22275,22295,22188,22268,10,0.04%,26901,-,-,22268,22269,22874,18558,,盤後,,
2025/07/09,TX,202508  ,22093,22303,21984,22266,180,0.81%,1448,22266,7279,22257,22264,22688,20375,,一般,,
2025/07/09,TX,202508  ,22092,22123,22027,22097,11,0.05%,462,-,-,22096,22099,22688,20375,,盤後,,
2025/07/09,TX,202509  ,22006,22184,21982,22153,176,0.80%,20,22153,1556,22145,22153,23902,16850,,一般,,
2025/07/09,TX,202509  ,21998,22000,21947,21991,14,0.06%,13,-,-,21988,21994,23902,16850,,盤後,,
2025/07/09,TX,202512  ,21790,21988,21746,21981,167,0.77%,48,21981,644,21979,21985,24048,16873,,一般,,
2025/07/09,TX,202512  ,21820,21840,21763,21825,11,0.05%,13,-,-,21826,21833,24048,16873,,盤後,,
2025/07/09,TX,202603  ,21640,21901,21640,21901,195,0.90%,13,21879,207,21872,21886,22331,17068,,一般,,
2025/07/09,TX,202603  ,21700,21700,21700,21700,-6,-0.03%,1,-,-,21722,21728,22331,17068,,盤後,,
2025/07/09,TX,202606  ,21813,21813,21813,21813,191,0.88%,2,21803,24,21769,21803,22188,20819,,一般,,
2025/07/09,TX,202606  ,-,-,-,-,-,-,0,-,-,21618,21654,22188,20819,,盤後,,
2025/07/10,TX,202507  ,22470,22647,22410,22611,177,0.79%,58504,22607,99658,22610,22613,22874,18558,,一般,,
2025/07/10,TX,202507  ,22438,22568,22366,22468,34,0.15%,37216,-,-,22467,22471,22874,18558,,盤後,,
2025/07/10,TX,202508  ,22287,22462,22247,22430,164,0.74%,2576,22430,9204,22429,22433,22688,20375,,一般,,
2025/07/10,TX,202508  ,22276,22400,22203,22309,43,0.19%,1072,-,-,22299,22307,22688,20375,,盤後,,
2025/07/10,TX,202509  ,22141,22340,22141,22318,165,0.74%,55,22318,1587,22315,22320,23902,16850,,一般,,
2025/07/10,TX,202509  ,22141,22280,22122,22199,46,0.21%,43,-,-,22183,22196,23902,16850,,盤後,,
2025/07/10,TX,202512  ,22066,22116,21966,22081,100,0.45%,36,22139,693,22137,22141,24048,16873,,一般,,
2025/07/10,TX,202512  ,21980,22080,21937,21984,3,0.01%,58,-,-,22017,22035,24048,16873,,盤後,,
2025/07/10,TX,202603  ,21949,22049,21880,21970,91,0.42%,9,22024,207,22019,22030,22331,17068,,一般,,
2025/07/10,TX,202603  ,21945,21960,21860,21874,-5,-0.02%,9,-,-,21907,21924,22331,17068,,盤後,,
2025/07/10,TX,202606  ,21803,-,-,21803,0,0.00%,1,21922,24,21903,21942,22188,20819,,一般,,
2025/07/10,TX,202606  ,-,-,-,-,-,-,0,-,-,21807,21844,22188,20819,,盤後,,
2025/07/11,TX,202507  ,22519,22774,22488,22764,157,0.69%,62637,22767,94213,22762,22766,22874,18558,,一般,,
2025/07/11,TX,202507  ,22617,22695,22507,22583,-24,-0.11%,32123,-,-,22582,22588,22874,18558,,盤後,,
2025/07/11,TX,202508  ,22366,22589,22310,22578,148,0.66%,8838,22582,16131,22578,22583,22688,20375,,一般,,
2025/07/11,TX,202508  ,22435,22508,22328,22404,-26,-0.12%,1062,-,-,22405,22412,22688,20375,,盤後,,
2025/07/11,TX,202509  ,22229,22468,22229,22468,150,0.67%,64,22468,1592,22460,22467,23902,16850,,一般,,
2025/07/11,TX,202509  ,22330,22385,22262,22287,-31,-0.14%,15,-,-,22286,22297,23902,16850,,盤後,,
2025/07/11,TX,202512  ,22017,22017,22017,22017,-122,-0.55%,1,22273,697,22270,22277,24048,16873,,一般,,
2025/07/11,TX,202512  ,22181,22181,22052,22131,-8,-0.04%,14,-,-,22102,22122,24048,16873,,盤後,,
2025/07/11,TX,202603  ,21934,22099,21934,22099,75,0.34%,14,22158,205,22153,22164,22331,17068,,一般,,
2025/07/11,TX,202603  ,22049,22082,21941,21941,-83,-0.38%,5,-,-,21992,22012,22331,17068,,盤後,,
2025/07/11,TX,202606  ,21922,-,-,21922,0,0.00%,6,22055,30,22034,22076,22188,20819,,一般,,
2025/07/11,TX,202606  ,21989,21989,21989,21989,67,0.31%,1,-,-,21875,21916,22188,20819,,盤後,,
2025/07/14,TX,202507  ,22670,22695,22520,22551,-216,-0.95%,90014,22547,56475,22547,22550,22874,18558,,一般,,
2025/07/14,TX,202507  ,22745,22752,22630,22637,-130,-0.57%,30173,-,-,22636,22639,22874,18558,,盤後,,
2025/07/14,TX,202508  ,22492,22515,22361,22396,-186,-0.82%,49128,22389,53970,22389,22394,22688,20375,,一般,,
2025/07/14,TX,202508  ,22551,22565,22452,22460,-122,-0.54%,1372,-,-,22457,22461,22688,20375,,盤後,,
2025/07/14,TX,202509  ,22376,22376,22250,22270,-198,-0.88%,21,22288,1595,22282,22295,23902,16850,,一般,,
2025/07/14,TX,202509  ,22428,22428,22345,22345,-123,-0.55%,25,-,-,22339,22348,23902,16850,,盤後,,
2025/07/14,TX,202512  ,22209,22209,22070,22077,-196,-0.88%,55,22077,757,22077,22088,24048,16873,,一般,,
2025/07/14,TX,202512  ,22206,22220,22185,22187,-86,-0.39%,20,-,-,22155,22169,24048,16873,,盤後,,
2025/07/14,TX,202603  ,22023,22023,22023,22023,-135,-0.61%,1,21987,203,21963,22011,22331,17068,,一般,,
