交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2025/02/03,TX,202502  ,22680,22817,22539,22598,-1091,-4.61%,84296,22596,71520,22598,22599,24042,22084,,一般,,
2025/02/03,TX,202502  ,23663,23841,23655,23802,113,0.48%,28582,-,-,23790,23802,24042,22084,,盤後,,
2025/02/03,TX,202503  ,22740,22851,22600,22616,-1097,-4.63%,2021,22625,2416,22626,22629,24435,18886,,一般,,
2025/02/03,TX,202503  ,23693,23865,23683,23833,120,0.51%,500,-,-,23817,23834,24435,18886,,盤後,,
2025/02/03,TX,202504  ,22738,22835,22600,22630,-1108,-4.67%,159,22638,196,22638,22642,23867,22600,,一般,,
2025/02/03,TX,202504  ,23711,23867,23711,23821,83,0.35%,38,-,-,23831,23847,23867,23080,,盤後,,
2025/02/03,TX,202506  ,22844,22900,22670,22678,-1095,-4.61%,76,22680,506,22675,22681,24547,19133,,一般,,
2025/02/03,TX,202506  ,23751,23899,23751,23899,126,0.53%,14,-,-,23863,23879,24547,19133,,盤後,,
2025/02/03,TX,202509  ,22611,22660,22470,22478,-1060,-4.50%,82,22479,502,22469,22476,23902,21377,,一般,,
2025/02/03,TX,202509  ,23628,23665,23579,23665,127,0.54%,12,-,-,23631,23652,23902,21377,,盤後,,
2025/02/03,TX,202512  ,22564,22666,22564,22588,-1034,-4.38%,10,22548,177,22542,22554,24048,22564,,一般,,
2025/02/03,TX,202512  ,23705,23724,23670,23670,48,0.20%,3,-,-,23710,23731,24048,22586,,盤後,,
2025/02/04,TX,202502  ,22919,22945,22708,22822,226,1.00%,58313,22825,70096,22822,22824,24042,22084,,一般,,
2025/02/04,TX,202502  ,22612,22935,22590,22795,199,0.88%,45550,-,-,22792,22796,24042,22084,,盤後,,
2025/02/04,TX,202503  ,22917,22956,22740,22857,232,1.03%,1126,22859,2546,22852,22857,24435,18886,,一般,,
2025/02/04,TX,202503  ,22645,22950,22619,22818,193,0.85%,1002,-,-,22804,22813,24435,18886,,盤後,,
2025/02/04,TX,202504  ,22930,22955,22801,22887,249,1.10%,111,22887,221,22875,22882,23867,22600,,一般,,
2025/02/04,TX,202504  ,22666,22942,22630,22860,222,0.98%,70,-,-,22814,22823,23867,22600,,盤後,,
2025/02/04,TX,202506  ,22976,22977,22806,22806,126,0.56%,13,22909,515,22907,22912,24547,19133,,一般,,
2025/02/04,TX,202506  ,22780,22980,22678,22979,299,1.32%,36,-,-,22849,22858,24547,19133,,盤後,,
2025/02/04,TX,202509  ,22716,22716,22716,22716,237,1.05%,5,22700,496,22695,22706,23902,21377,,一般,,
2025/02/04,TX,202509  ,22575,22760,22478,22715,236,1.05%,23,-,-,22626,22639,23902,21377,,盤後,,
2025/02/04,TX,202512  ,22811,22811,22692,22693,145,0.64%,6,22776,177,22768,22785,24048,22564,,一般,,
