交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2024/01/02,TX,202401  ,17838,17920,17751,17798,-72,-0.40%,82827,17800,103404,17798,17800,17920,16001,,一般,,
2024/01/02,TX,202401  ,17871,17878,17766,17826,-44,-0.25%,33681,-,-,17826,17828,17900,16001,,盤後,,
2024/01/02,TX,202402  ,17816,17906,17744,17791,-69,-0.39%,948,17791,2281,17788,17793,17906,17148,,一般,,
2024/01/02,TX,202402  ,17865,17866,17759,17814,-46,-0.26%,339,-,-,17816,17821,17890,17148,,盤後,,
2024/01/02,TX,202403  ,17824,17896,17736,17785,-69,-0.39%,233,17785,1019,17778,17783,17896,14451,,一般,,
2024/01/02,TX,202403  ,17837,17855,17755,17808,-46,-0.26%,94,-,-,17805,17810,17878,14451,,盤後,,
2024/01/02,TX,202406  ,17789,17860,17704,17740,-77,-0.43%,34,17749,439,17746,17752,17860,16016,,一般,,
2024/01/02,TX,202406  ,17812,17817,17741,17741,-76,-0.43%,13,-,-,17773,17779,17840,16016,,盤後,,
2024/01/02,TX,202409  ,17578,17602,17460,17504,-72,-0.41%,27,17504,338,17498,17507,17608,15810,,一般,,
2024/01/02,TX,202409  ,17566,17566,17496,17535,-41,-0.23%,17,-,-,17524,17535,17608,15810,,盤後,,
2024/01/02,TX,202412  ,17536,17536,17467,17467,-105,-0.60%,8,17499,44,17494,17504,17612,17101,,一般,,
2024/01/02,TX,202412  ,17544,17544,17498,17498,-74,-0.42%,3,-,-,17524,17533,17612,17101,,盤後,,
2024/01/03,TX,202401  ,17658,17667,17507,17546,-254,-1.43%,97851,17545,106526,17546,17549,17920,16001,,一般,,
2024/01/03,TX,202401  ,17793,17817,17652,17674,-126,-0.71%,51826,-,-,17673,17675,17920,16001,,盤後,,
2024/01/03,TX,202402  ,17656,17656,17505,17537,-254,-1.43%,1154,17540,2794,17540,17545,17906,17148,,一般,,
2024/01/03,TX,202402  ,17793,17804,17647,17668,-123,-0.69%,858,-,-,17665,17670,17906,17148,,盤後,,
2024/01/03,TX,202403  ,17646,17652,17500,17535,-250,-1.41%,237,17535,1059,17532,17538,17896,14451,,一般,,
2024/01/03,TX,202403  ,17794,17794,17642,17642,-143,-0.80%,111,-,-,17657,17663,17896,14451,,盤後,,
2024/01/03,TX,202406  ,17600,17600,17483,17517,-232,-1.31%,73,17506,503,17503,17509,17860,16016,,一般,,
2024/01/03,TX,202406  ,17733,17733,17628,17628,-121,-0.68%,42,-,-,17625,17631,17860,16016,,盤後,,
2024/01/03,TX,202409  ,17351,17351,17246,17261,-243,-1.39%,47,17261,366,17261,17271,17608,15810,,一般,,
2024/01/03,TX,202409  ,17452,17452,17380,17380,-124,-0.71%,8,-,-,17379,17389,17608,15810,,盤後,,
2024/01/03,TX,202412  ,17299,17335,17250,17271,-228,-1.30%,10,17271,50,17257,17271,17612,17101,,一般,,
2024/01/03,TX,202412  ,17500,17500,17380,17380,-119,-0.68%,7,-,-,17375,17380,17612,17101,,盤後,,
2024/01/04,TX,202401  ,17525,17583,17525,17546,1,0.01%,57402,17550,102022,17545,17547,17920,16001,,一般,,
2024/01/04,TX,202401  ,17544,17585,17479,17536,-9,-0.05%,51903,-,-,17536,17537,17920,16001,,盤後,,
2024/01/04,TX,202402  ,17517,17572,17517,17545,5,0.03%,632,17537,2822,17535,17539,17906,17148,,一般,,
2024/01/04,TX,202402  ,17538,17573,17474,17536,-4,-0.02%,882,-,-,17527,17531,17906,17148,,盤後,,
2024/01/04,TX,202403  ,17505,17565,17505,17519,-16,-0.09%,368,17519,1364,17518,17522,17896,14451,,一般,,
2024/01/04,TX,202403  ,17539,17562,17466,17560,25,0.14%,103,-,-,17517,17522,17896,14451,,盤後,,
2024/01/04,TX,202406  ,17503,17526,17484,17494,-12,-0.07%,27,17494,489,17490,17495,17860,16016,,一般,,
2024/01/04,TX,202406  ,17508,17536,17438,17491,-15,-0.09%,46,-,-,17490,17494,17860,16016,,盤後,,
2024/01/04,TX,202409  ,17265,17269,17238,17250,-11,-0.06%,30,17250,378,17248,17255,17608,15810,,一般,,
2024/01/04,TX,202409  ,17276,17288,17207,17275,14,0.08%,8,-,-,17248,17256,17608,15810,,盤後,,
2024/01/04,TX,202412  ,17243,17259,17243,17259,-12,-0.07%,6,17259,53,17249,17258,17612,17101,,一般,,
2024/01/04,TX,202412  ,17271,17283,17209,17228,-43,-0.25%,6,-,-,17246,17254,17612,17101,,盤後,,
2024/01/05,TX,202401  ,17577,17626,17491,17519,-31,-0.18%,77062,17518,101818,17516,17519,17920,16001,,一般,,
2024/01/05,TX,202401  ,17571,17609,17539,17555,5,0.03%,43221,-,-,17553,17555,17920,16001,,盤後,,
2024/01/05,TX,202402  ,17564,17613,17483,17514,-23,-0.13%,770,17514,3007,17506,17511,17906,17148,,一般,,
2024/01/05,TX,202402  ,17569,17599,17534,17542,5,0.03%,566,-,-,17543,17548,17906,17148,,盤後,,
2024/01/05,TX,202403  ,17545,17600,17468,17492,-27,-0.15%,414,17492,1664,17487,17494,17896,14451,,一般,,
2024/01/05,TX,202403  ,17550,17585,17526,17528,9,0.05%,60,-,-,17530,17534,17896,14451,,盤後,,
2024/01/05,TX,202406  ,17512,17570,17449,17464,-30,-0.17%,38,17464,498,17460,17466,17860,16016,,一般,,
2024/01/05,TX,202406  ,17528,17552,17492,17492,-2,-0.01%,21,-,-,17499,17504,17860,16016,,盤後,,
2024/01/05,TX,202409  ,17224,17252,17204,17212,-38,-0.22%,17,17212,386,17211,17221,17608,15810,,一般,,
2024/01/05,TX,202409  ,17282,17300,17272,17296,46,0.27%,13,-,-,17253,17262,17608,15810,,盤後,,
2024/01/05,TX,202412  ,17218,17220,17215,17219,-40,-0.23%,4,17219,58,17216,17226,17612,17101,,一般,,
2024/01/05,TX,202412  ,17297,17300,17297,17300,41,0.24%,4,-,-,17257,17265,17612,17101,,盤後,,
2024/01/08,TX,202401  ,17572,17706,17568,17595,77,0.44%,86585,17595,102591,17595,17596,17920,16001,,一般,,
2024/01/08,TX,202401  ,17510,17605,17452,17547,29,0.17%,67315,-,-,17547,17548,17920,16001,,盤後,,
2024/01/08,TX,202402  ,17556,17691,17556,17584,70,0.40%,1764,17581,3454,17580,17583,17906,17148,,一般,,
2024/01/08,TX,202402  ,17495,17594,17445,17537,23,0.13%,830,-,-,17536,17540,17906,17148,,盤後,,
2024/01/08,TX,202403  ,17559,17666,17544,17557,65,0.37%,417,17557,1796,17556,17561,17896,14451,,一般,,
2024/01/08,TX,202403  ,17482,17572,17426,17495,3,0.02%,119,-,-,17518,17522,17896,14451,,盤後,,
2024/01/08,TX,202406  ,17540,17620,17500,17516,52,0.30%,23,17516,491,17513,17517,17860,16016,,一般,,
2024/01/08,TX,202406  ,17454,17543,17415,17536,72,0.41%,23,-,-,17491,17494,17860,16016,,盤後,,
2024/01/08,TX,202409  ,17299,17348,17253,17262,50,0.29%,32,17262,399,17252,17273,17608,15810,,一般,,
2024/01/08,TX,202409  ,17152,17285,17152,17250,38,0.22%,12,-,-,17238,17247,17608,15810,,盤後,,
2024/01/08,TX,202412  ,17285,17350,17257,17269,50,0.29%,15,17269,66,17250,17270,17612,17101,,一般,,
2024/01/08,TX,202412  ,17158,17280,17156,17228,9,0.05%,5,-,-,17241,17252,17612,17101,,盤後,,
2024/01/09,TX,202401  ,17770,17782,17526,17545,-50,-0.28%,96286,17547,103756,17545,17546,17920,16001,,一般,,
2024/01/09,TX,202401  ,17595,17774,17535,17767,172,0.98%,55350,-,-,17768,17771,17920,16001,,盤後,,
2024/01/09,TX,202402  ,17750,17760,17514,17532,-49,-0.28%,1849,17533,4175,17531,17534,17906,17148,,一般,,
2024/01/09,TX,202402  ,17588,17755,17525,17746,165,0.94%,1011,-,-,17748,17753,17906,17148,,盤後,,
2024/01/09,TX,202403  ,17729,17734,17498,17506,-51,-0.29%,204,17506,1842,17505,17510,17896,14451,,一般,,
2024/01/09,TX,202403  ,17545,17730,17507,17730,173,0.99%,140,-,-,17724,17731,17896,14451,,盤後,,
2024/01/09,TX,202406  ,17656,17656,17471,17490,-26,-0.15%,41,17466,510,17464,17468,17860,16016,,一般,,
2024/01/09,TX,202406  ,17522,17684,17465,17684,168,0.96%,36,-,-,17681,17689,17860,16016,,盤後,,
2024/01/09,TX,202409  ,17329,17331,17207,17208,-54,-0.31%,27,17208,396,17201,17210,17608,15810,,一般,,
2024/01/09,TX,202409  ,17258,17398,17258,17398,136,0.79%,16,-,-,17389,17410,17608,15810,,盤後,,
2024/01/09,TX,202412  ,17360,17360,17240,17240,-29,-0.17%,9,17203,68,17191,17215,17612,17101,,一般,,
2024/01/09,TX,202412  ,17310,17406,17310,17406,137,0.79%,5,-,-,17390,17418,17612,17101,,盤後,,
2024/01/10,TX,202401  ,17509,17521,17439,17458,-89,-0.51%,70327,17460,102213,17458,17460,17920,16001,,一般,,
2024/01/10,TX,202401  ,17544,17555,17431,17507,-40,-0.23%,65943,-,-,17507,17510,17920,16001,,盤後,,
2024/01/10,TX,202402  ,17510,17510,17430,17451,-82,-0.47%,1689,17450,5109,17448,17452,17906,17148,,一般,,
2024/01/10,TX,202402  ,17526,17540,17424,17498,-35,-0.20%,1823,-,-,17494,17500,17906,17148,,盤後,,
2024/01/10,TX,202403  ,17482,17486,17413,17432,-74,-0.42%,177,17432,1866,17428,17434,17896,14451,,一般,,
2024/01/10,TX,202403  ,17475,17515,17405,17482,-24,-0.14%,233,-,-,17470,17477,17896,14451,,盤後,,
2024/01/10,TX,202406  ,17436,17436,17384,17407,-59,-0.34%,17,17385,528,17382,17388,17860,16016,,一般,,
2024/01/10,TX,202406  ,17423,17449,17358,17431,-35,-0.20%,31,-,-,17428,17434,17860,16016,,盤後,,
