交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2019/06/03,TX,201906  ,10431,10477,10366,10471,16,0.15%,129111,10471,80637,10472,10474,11132,9209,,一般,,
2019/06/03,TX,201906  ,10440,10458,10411,10416,-39,-0.37%,35788,-,-,10415,10416,11132,9209,,盤後,,
2019/06/03,TX,201907  ,10197,10248,10141,10248,18,0.18%,1178,10244,7123,10243,10247,10928,9998,,一般,,
2019/06/03,TX,201907  ,10215,10232,10188,10190,-40,-0.39%,652,-,-,10190,10192,10928,9998,,盤後,,
2019/06/03,TX,201908  ,10074,10102,10012,10091,-5,-0.05%,80,10109,380,10106,10113,10235,9869,,一般,,
2019/06/03,TX,201908  ,10072,10091,10057,10060,-36,-0.36%,54,-,-,10057,10060,10235,9869,,盤後,,
2019/06/03,TX,201909  ,10033,10077,9974,10077,16,0.16%,175,10074,4223,10073,10076,10741,8817,,一般,,
2019/06/03,TX,201909  ,10046,10056,10023,10024,-37,-0.37%,24,-,-,10020,10023,10741,8817,,盤後,,
2019/06/03,TX,201912  ,9987,10023,9936,10015,-8,-0.08%,77,10035,443,10032,10038,10710,8770,,一般,,
2019/06/03,TX,201912  ,10010,10013,9995,10002,-21,-0.21%,13,-,-,9981,9985,10710,8770,,盤後,,
2019/06/03,TX,202003  ,9950,9985,9900,9971,-10,-0.10%,47,9989,460,9986,9993,10652,9756,,一般,,
2019/06/03,TX,202003  ,9969,9969,9943,9943,-38,-0.38%,13,-,-,9939,9944,10652,9756,,盤後,,
2019/06/04,TX,201906  ,10461,10483,10401,10416,-55,-0.53%,91946,10416,79456,10416,10417,11132,9209,,一般,,
2019/06/04,TX,201906  ,10471,10499,10424,10457,-14,-0.13%,41826,-,-,10457,10458,11132,9209,,盤後,,
2019/06/04,TX,201907  ,10239,10255,10177,10193,-51,-0.50%,1314,10192,7336,10191,10193,10928,9998,,一般,,
2019/06/04,TX,201907  ,10249,10270,10200,10227,-17,-0.17%,585,-,-,10229,10231,10928,9998,,盤後,,
2019/06/04,TX,201908  ,10107,10120,10047,10055,-54,-0.53%,67,10055,398,10056,10060,10235,9869,,一般,,
2019/06/04,TX,201908  ,10107,10132,10070,10091,-18,-0.18%,29,-,-,10095,10099,10235,9869,,盤後,,
2019/06/04,TX,201909  ,10080,10081,10010,10015,-59,-0.59%,45,10015,4258,10019,10022,10741,8817,,一般,,
2019/06/04,TX,201909  ,10069,10095,10038,10038,-36,-0.36%,52,-,-,10058,10060,10741,8817,,盤後,,
2019/06/04,TX,201912  ,10026,10035,9975,9980,-55,-0.55%,53,9980,448,9980,9983,10710,8770,,一般,,
2019/06/04,TX,201912  ,10026,10046,10000,10000,-35,-0.35%,7,-,-,10019,10022,10710,8770,,盤後,,
2019/06/04,TX,202003  ,9996,10000,9929,9935,-54,-0.54%,35,9935,458,9937,9942,10652,9756,,一般,,
2019/06/04,TX,202003  ,9976,10009,9976,10009,20,0.20%,3,-,-,9973,9976,10652,9756,,盤後,,
2019/06/05,TX,201906  ,10495,10510,10439,10456,40,0.38%,101638,10456,82211,10455,10456,11132,9209,,一般,,
2019/06/05,TX,201906  ,10411,10488,10409,10485,69,0.66%,30246,-,-,10486,10487,11132,9209,,盤後,,
2019/06/05,TX,201907  ,10262,10285,10219,10233,41,0.40%,1256,10236,7575,10233,10236,10928,9998,,一般,,
2019/06/05,TX,201907  ,10189,10263,10185,10260,68,0.67%,370,-,-,10260,10263,10928,9998,,盤後,,
2019/06/05,TX,201908  ,10135,10150,10090,10099,44,0.44%,88,10099,414,10098,10101,10235,9869,,一般,,
2019/06/05,TX,201908  ,10072,10126,10069,10126,71,0.71%,51,-,-,10125,10131,10235,9869,,盤後,,
2019/06/05,TX,201909  ,10104,10112,10052,10066,51,0.51%,59,10066,4285,10063,10066,10741,8817,,一般,,
2019/06/05,TX,201909  ,10024,10092,10024,10092,77,0.77%,42,-,-,10088,10091,10741,8817,,盤後,,
2019/06/05,TX,201912  ,10055,10072,10010,10022,42,0.42%,40,10022,462,10023,10027,10710,8770,,一般,,
2019/06/05,TX,201912  ,9980,10050,9980,10048,68,0.68%,6,-,-,10049,10052,10710,8770,,盤後,,
2019/06/05,TX,202003  ,10010,10025,9976,9979,44,0.44%,32,9979,460,9981,9985,10652,9756,,一般,,
2019/06/05,TX,202003  ,9952,9961,9952,9961,26,0.26%,4,-,-,10007,10010,10652,9756,,盤後,,
2019/06/06,TX,201906  ,10433,10437,10351,10360,-96,-0.92%,112358,10365,82373,10360,10363,11132,9209,,一般,,
2019/06/06,TX,201906  ,10446,10470,10407,10451,-5,-0.05%,34732,-,-,10450,10451,11132,9209,,盤後,,
2019/06/06,TX,201907  ,10211,10213,10128,10139,-97,-0.95%,2019,10141,8323,10136,10140,10928,9998,,一般,,
2019/06/06,TX,201907  ,10226,10247,10189,10230,-6,-0.06%,392,-,-,10229,10230,10928,9998,,盤後,,
2019/06/06,TX,201908  ,10060,10060,9998,10005,-94,-0.93%,222,10006,539,9999,10006,10235,9869,,一般,,
2019/06/06,TX,201908  ,10090,10112,10055,10091,-8,-0.08%,28,-,-,10094,10097,10235,9869,,盤後,,
2019/06/06,TX,201909  ,10036,10036,9960,9970,-96,-0.95%,376,9971,4391,9963,9968,10741,8817,,一般,,
2019/06/06,TX,201909  ,10055,10077,10021,10031,-35,-0.35%,20,-,-,10058,10066,10741,8817,,盤後,,
2019/06/06,TX,201912  ,9989,9989,9927,9937,-85,-0.85%,44,9937,478,9926,9934,10710,8770,,一般,,
2019/06/06,TX,201912  ,10016,10036,9989,9995,-27,-0.27%,24,-,-,10021,10028,10710,8770,,盤後,,
2019/06/06,TX,202003  ,9935,9937,9885,9894,-85,-0.85%,34,9894,472,9886,9893,10652,9756,,一般,,
2019/06/06,TX,202003  ,9975,9991,9946,9975,-4,-0.04%,8,-,-,9978,9983,10652,9756,,盤後,,
2019/06/10,TX,201906  ,10477,10546,10442,10539,174,1.68%,122498,10540,88150,10538,10540,11132,9209,,一般,,
2019/06/10,TX,201906  ,10363,10410,10338,10383,18,0.17%,27432,-,-,10382,10384,11132,9209,,盤後,,
2019/06/10,TX,201907  ,10246,10321,10220,10315,174,1.72%,2069,10316,8983,10315,10317,10928,9998,,一般,,
2019/06/10,TX,201907  ,10137,10185,10116,10161,20,0.20%,479,-,-,10157,10162,10928,9998,,盤後,,
2019/06/10,TX,201908  ,10074,10181,10074,10177,171,1.71%,157,10177,535,10177,10180,10235,9869,,一般,,
2019/06/10,TX,201908  ,9995,10048,9987,10048,42,0.42%,37,-,-,10024,10028,10235,9869,,盤後,,
2019/06/10,TX,201909  ,10061,10148,10050,10142,171,1.71%,253,10142,4499,10141,10144,10741,8817,,一般,,
2019/06/10,TX,201909  ,9980,10001,9948,10000,29,0.29%,42,-,-,9985,9990,10741,8817,,盤後,,
2019/06/10,TX,201912  ,10030,10109,10016,10106,169,1.70%,94,10106,493,10103,10106,10710,8770,,一般,,
2019/06/10,TX,201912  ,9926,9968,9910,9957,20,0.20%,14,-,-,9949,9954,10710,8770,,盤後,,
2019/06/10,TX,202003  ,10006,10060,9980,10058,164,1.66%,96,10058,441,10056,10060,10652,9756,,一般,,
2019/06/10,TX,202003  ,9894,9930,9894,9910,16,0.16%,3,-,-,9907,9913,10652,9756,,盤後,,
2019/06/11,TX,201906  ,10555,10618,10533,10592,52,0.49%,102065,10590,84964,10589,10592,11132,9209,,一般,,
2019/06/11,TX,201906  ,10549,10585,10537,10555,15,0.14%,23098,-,-,10554,10555,11132,9209,,盤後,,
