交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2020/08/03,TX,202008  ,12531,12567,12405,12443,-133,-1.06%,134894,12440,92153,12443,12444,12900,10350,,一般,,
2020/08/03,TX,202008  ,12583,12600,12455,12550,-26,-0.21%,56809,-,-,12550,12551,12900,10350,,盤後,,
2020/08/03,TX,202009  ,12467,12507,12350,12388,-129,-1.03%,1434,12383,11491,12386,12389,12845,7782,,一般,,
2020/08/03,TX,202009  ,12517,12539,12400,12494,-23,-0.18%,617,-,-,12491,12495,12845,7782,,盤後,,
2020/08/03,TX,202010  ,12408,12447,12300,12323,-136,-1.09%,201,12334,620,12332,12336,12783,11820,,一般,,
2020/08/03,TX,202010  ,12451,12473,12342,12439,-20,-0.16%,26,-,-,12433,12438,12783,11820,,盤後,,
2020/08/03,TX,202012  ,12333,12371,12237,12250,-138,-1.11%,50,12260,1572,12258,12263,12708,7655,,一般,,
2020/08/03,TX,202012  ,12387,12392,12268,12357,-31,-0.25%,26,-,-,12358,12359,12708,7655,,盤後,,
2020/08/03,TX,202103  ,12217,12258,12115,12118,-149,-1.21%,28,12144,874,12142,12147,12595,7591,,一般,,
2020/08/03,TX,202103  ,12267,12267,12195,12216,-51,-0.42%,8,-,-,12241,12246,12595,7591,,盤後,,
2020/08/03,TX,202106  ,12114,12114,12009,12021,-141,-1.16%,23,12040,239,12038,12043,12480,10843,,一般,,
2020/08/03,TX,202106  ,12162,12168,12088,12112,-50,-0.41%,11,-,-,12136,12143,12480,10843,,盤後,,
2020/08/04,TX,202008  ,12516,12632,12489,12629,189,1.52%,111175,12629,92179,12628,12631,12900,10350,,一般,,
2020/08/04,TX,202008  ,12425,12506,12371,12492,52,0.42%,48208,-,-,12492,12494,12900,10350,,盤後,,
2020/08/04,TX,202009  ,12458,12573,12434,12571,188,1.52%,1052,12570,11610,12570,12574,12845,7782,,一般,,
2020/08/04,TX,202009  ,12366,12446,12318,12434,51,0.41%,654,-,-,12434,12438,12845,7782,,盤後,,
2020/08/04,TX,202010  ,12420,12514,12388,12512,178,1.44%,84,12512,708,12515,12520,12783,11820,,一般,,
2020/08/04,TX,202010  ,12315,12388,12270,12376,42,0.34%,85,-,-,12379,12385,12783,11820,,盤後,,
2020/08/04,TX,202012  ,12342,12445,12326,12445,185,1.51%,34,12445,1597,12442,12447,12708,7655,,一般,,
2020/08/04,TX,202012  ,12215,12311,12210,12309,49,0.40%,17,-,-,12307,12312,12708,7655,,盤後,,
2020/08/04,TX,202103  ,12212,12325,12212,12325,181,1.49%,11,12325,878,12324,12329,12595,7591,,一般,,
2020/08/04,TX,202103  ,12122,12191,12090,12188,44,0.36%,13,-,-,12187,12193,12595,7591,,盤後,,
2020/08/04,TX,202106  ,12108,12224,12108,12224,184,1.53%,27,12224,247,12219,12225,12480,10843,,一般,,
2020/08/04,TX,202106  ,12021,12095,11977,12095,55,0.46%,11,-,-,12085,12094,12480,10843,,盤後,,
2020/08/05,TX,202008  ,12700,12746,12643,12744,115,0.91%,106101,12741,90734,12744,12747,12900,10350,,一般,,
2020/08/05,TX,202008  ,12662,12698,12628,12693,64,0.51%,39034,-,-,12693,12694,12900,10350,,盤後,,
2020/08/05,TX,202009  ,12644,12686,12590,12686,116,0.92%,1813,12682,12059,12683,12688,12845,7782,,一般,,
2020/08/05,TX,202009  ,12607,12639,12572,12633,63,0.50%,566,-,-,12634,12638,12845,7782,,盤後,,
2020/08/05,TX,202010  ,12589,12628,12535,12628,116,0.93%,89,12628,718,12628,12633,12783,11820,,一般,,
2020/08/05,TX,202010  ,12559,12578,12520,12577,65,0.52%,42,-,-,12579,12583,12783,11820,,盤後,,
2020/08/05,TX,202012  ,12516,12546,12495,12546,101,0.81%,147,12558,1701,12555,12562,12708,7655,,一般,,
2020/08/05,TX,202012  ,12491,12505,12456,12505,60,0.48%,15,-,-,12506,12511,12708,7655,,盤後,,
2020/08/05,TX,202103  ,12398,12435,12390,12435,110,0.89%,28,12435,889,12436,12441,12595,7591,,一般,,
2020/08/05,TX,202103  ,12380,12380,12340,12380,55,0.45%,7,-,-,12390,12395,12595,7591,,盤後,,
2020/08/05,TX,202106  ,12300,12330,12270,12330,106,0.87%,25,12330,249,12331,12335,12480,10843,,一般,,
2020/08/05,TX,202106  ,12264,12265,12230,12255,31,0.25%,8,-,-,12286,12293,12480,10843,,盤後,,
2020/08/06,TX,202008  ,12856,12925,12753,12835,94,0.74%,141397,12836,89700,12835,12836,12925,10350,,一般,,
2020/08/06,TX,202008  ,12755,12875,12753,12822,81,0.64%,46295,-,-,12821,12822,12900,10350,,盤後,,
2020/08/06,TX,202009  ,12788,12861,12695,12780,98,0.77%,1766,12778,12589,12774,12778,12861,7782,,一般,,
2020/08/06,TX,202009  ,12698,12814,12698,12755,73,0.58%,727,-,-,12759,12763,12845,7782,,盤後,,
2020/08/06,TX,202010  ,12742,12791,12640,12722,94,0.74%,107,12722,763,12719,12722,12791,11820,,一般,,
2020/08/06,TX,202010  ,12644,12744,12644,12696,68,0.54%,59,-,-,12702,12708,12783,11820,,盤後,,
2020/08/06,TX,202012  ,12666,12727,12576,12650,92,0.73%,160,12650,1842,12647,12649,12727,7655,,一般,,
2020/08/06,TX,202012  ,12575,12675,12571,12623,65,0.52%,52,-,-,12633,12637,12708,7655,,盤後,,
2020/08/06,TX,202103  ,12543,12605,12450,12517,82,0.66%,29,12530,905,12529,12532,12605,7591,,一般,,
2020/08/06,TX,202103  ,12497,12555,12497,12515,80,0.64%,14,-,-,12513,12517,12595,7591,,盤後,,
2020/08/06,TX,202106  ,12440,12504,12350,12431,101,0.82%,42,12431,261,12423,12429,12504,10843,,一般,,
2020/08/06,TX,202106  ,12342,12449,12342,12408,78,0.63%,39,-,-,12406,12411,12480,10843,,盤後,,
2020/08/07,TX,202008  ,12860,12866,12706,12763,-73,-0.57%,114920,12759,89890,12758,12763,12925,10350,,一般,,
2020/08/07,TX,202008  ,12836,12879,12796,12866,30,0.23%,40317,-,-,12863,12864,12925,10350,,盤後,,
2020/08/07,TX,202009  ,12803,12803,12650,12704,-74,-0.58%,1180,12701,12875,12700,12706,12861,7782,,一般,,
2020/08/07,TX,202009  ,12775,12817,12740,12803,25,0.20%,562,-,-,12802,12805,12861,7782,,盤後,,
2020/08/07,TX,202010  ,12732,12737,12596,12634,-88,-0.69%,85,12648,810,12645,12652,12791,11820,,一般,,
2020/08/07,TX,202010  ,12717,12760,12698,12749,27,0.21%,47,-,-,12746,12751,12791,11820,,盤後,,
2020/08/07,TX,202012  ,12667,12667,12538,12561,-89,-0.70%,79,12580,1881,12577,12583,12727,7655,,一般,,
2020/08/07,TX,202012  ,12669,12676,12632,12676,26,0.21%,14,-,-,12675,12679,12727,7655,,盤後,,
2020/08/07,TX,202103  ,12513,12518,12430,12450,-80,-0.64%,21,12460,908,12457,12464,12605,7591,,一般,,
2020/08/07,TX,202103  ,12530,12530,12518,12518,-12,-0.10%,2,-,-,12557,12561,12605,7591,,盤後,,
2020/08/07,TX,202106  ,12443,12445,12303,12356,-75,-0.60%,25,12356,265,12352,12360,12504,10843,,一般,,
2020/08/07,TX,202106  ,12458,12460,12398,12460,29,0.23%,17,-,-,12451,12458,12504,10843,,盤後,,
2020/08/10,TX,202008  ,12779,12905,12720,12855,96,0.75%,109604,12854,89556,12854,12855,12925,10350,,一般,,
2020/08/10,TX,202008  ,12759,12794,12724,12780,21,0.16%,33448,-,-,12780,12782,12925,10350,,盤後,,
2020/08/10,TX,202009  ,12720,12845,12665,12798,97,0.76%,1265,12796,12848,12795,12798,12861,7782,,一般,,
2020/08/10,TX,202009  ,12707,12735,12669,12728,27,0.21%,470,-,-,12723,12727,12861,7782,,盤後,,
2020/08/10,TX,202010  ,12662,12775,12615,12740,92,0.73%,89,12740,819,12739,12742,12791,11820,,一般,,
2020/08/10,TX,202010  ,12648,12680,12625,12672,24,0.19%,17,-,-,12668,12673,12791,11820,,盤後,,
2020/08/10,TX,202012  ,12602,12721,12546,12673,93,0.74%,118,12673,1976,12672,12675,12727,7655,,一般,,
2020/08/10,TX,202012  ,12576,12600,12550,12600,20,0.16%,13,-,-,12597,12603,12727,7655,,盤後,,
2020/08/10,TX,202103  ,12475,12594,12475,12558,98,0.79%,16,12558,916,12555,12560,12605,7591,,一般,,
2020/08/10,TX,202103  ,12456,12475,12450,12450,-10,-0.08%,9,-,-,12480,12488,12605,7591,,盤後,,
2020/08/10,TX,202106  ,12345,12478,12345,12470,114,0.92%,28,12451,260,12449,12454,12504,10843,,一般,,
2020/08/10,TX,202106  ,12350,12380,12340,12340,-16,-0.13%,10,-,-,12376,12385,12504,10843,,盤後,,
2020/08/11,TX,202008  ,12825,12874,12727,12737,-117,-0.91%,106920,12735,88168,12736,12737,12925,10350,,一般,,
2020/08/11,TX,202008  ,12844,12853,12762,12818,-36,-0.28%,36224,-,-,12818,12819,12925,10350,,盤後,,
2020/08/11,TX,202009  ,12770,12819,12675,12682,-114,-0.89%,2040,12682,13334,12681,12685,12861,7782,,一般,,
2020/08/11,TX,202009  ,12781,12793,12707,12764,-32,-0.25%,679,-,-,12761,12764,12861,7782,,盤後,,
2020/08/11,TX,202010  ,12704,12759,12625,12631,-109,-0.86%,104,12631,875,12629,12632,12791,11820,,一般,,
2020/08/11,TX,202010  ,12715,12729,12665,12709,-31,-0.24%,24,-,-,12705,12711,12791,11820,,盤後,,
2020/08/11,TX,202012  ,12633,12678,12560,12560,-113,-0.89%,49,12560,1986,12564,12567,12727,7655,,一般,,
2020/08/11,TX,202012  ,12671,12671,12592,12592,-81,-0.64%,3,-,-,12639,12643,12727,7655,,盤後,,
2020/08/11,TX,202103  ,12520,12553,12456,12456,-102,-0.81%,27,12456,915,12454,12458,12605,7591,,一般,,
2020/08/11,TX,202103  ,12530,12535,12525,12525,-33,-0.26%,5,-,-,12525,12532,12605,7591,,盤後,,
2020/08/11,TX,202106  ,12436,12469,12352,12352,-99,-0.80%,35,12352,270,12353,12365,12504,10843,,一般,,
2020/08/11,TX,202106  ,12435,12444,12381,12408,-43,-0.35%,9,-,-,12421,12425,12504,10843,,盤後,,
2020/08/12,TX,202008  ,12700,12701,12565,12655,-80,-0.63%,131890,12655,82261,12654,12657,12925,10350,,一般,,
2020/08/12,TX,202008  ,12707,12783,12670,12699,-36,-0.28%,44970,-,-,12699,12700,12925,10350,,盤後,,
2020/08/12,TX,202009  ,12651,12651,12516,12601,-81,-0.64%,2960,12599,14044,12598,12603,12861,7782,,一般,,
2020/08/12,TX,202009  ,12660,12728,12619,12650,-32,-0.25%,719,-,-,12644,12648,12861,7782,,盤後,,
2020/08/12,TX,202010  ,12591,12592,12470,12550,-81,-0.64%,168,12550,964,12545,12551,12791,11820,,一般,,
2020/08/12,TX,202010  ,12607,12670,12578,12600,-31,-0.25%,47,-,-,12591,12596,12791,11820,,盤後,,
2020/08/12,TX,202012  ,12526,12526,12408,12482,-78,-0.62%,57,12482,2030,12486,12490,12727,7655,,一般,,
2020/08/12,TX,202012  ,12552,12594,12504,12504,-56,-0.45%,18,-,-,12526,12531,12727,7655,,盤後,,
2020/08/12,TX,202103  ,12400,12402,12300,12373,-83,-0.67%,21,12373,907,12379,12384,12605,7591,,一般,,
2020/08/12,TX,202103  ,12443,12476,12400,12400,-56,-0.45%,10,-,-,12419,12427,12605,7591,,盤後,,
2020/08/12,TX,202106  ,12317,12317,12211,12278,-74,-0.60%,19,12278,271,12280,12290,12504,10843,,一般,,
2020/08/12,TX,202106  ,12321,12396,12321,12357,5,0.04%,16,-,-,12325,12331,12504,10843,,盤後,,
2020/08/13,TX,202008  ,12816,12836,12702,12723,68,0.54%,113664,12725,77993,12723,12726,12925,10350,,一般,,
2020/08/13,TX,202008  ,12700,12822,12699,12787,132,1.04%,41010,-,-,12787,12789,12925,10350,,盤後,,
2020/08/13,TX,202009  ,12751,12777,12645,12665,66,0.52%,5212,12668,17795,12664,12669,12861,7782,,一般,,
2020/08/13,TX,202009  ,12642,12763,12642,12733,134,1.06%,1431,-,-,12728,12733,12861,7782,,盤後,,
2020/08/13,TX,202010  ,12693,12720,12595,12611,61,0.49%,101,12611,956,12611,12616,12791,11820,,一般,,
2020/08/13,TX,202010  ,12590,12697,12590,12695,145,1.16%,53,-,-,12672,12678,12791,11820,,盤後,,
2020/08/13,TX,202012  ,12642,12644,12544,12550,68,0.54%,55,12550,2060,12551,12556,12727,7655,,一般,,
2020/08/13,TX,202012  ,12534,12646,12534,12641,159,1.27%,23,-,-,12613,12616,12727,7655,,盤後,,
2020/08/13,TX,202103  ,12541,12550,12426,12426,53,0.43%,14,12444,910,12440,12449,12605,7591,,一般,,
2020/08/13,TX,202103  ,12440,12530,12440,12530,157,1.27%,13,-,-,12497,12507,12605,7591,,盤後,,
2020/08/13,TX,202106  ,12436,12443,12328,12363,85,0.69%,26,12345,273,12341,12349,12504,10843,,一般,,
2020/08/13,TX,202106  ,12358,12429,12358,12429,151,1.23%,12,-,-,12399,12409,12504,10843,,盤後,,
2020/08/14,TX,202008  ,12696,12790,12646,12788,63,0.50%,105105,12789,70280,12788,12790,12925,10350,,一般,,
2020/08/14,TX,202008  ,12733,12742,12658,12707,-18,-0.14%,41132,-,-,12707,12708,12925,10350,,盤後,,
2020/08/14,TX,202009  ,12645,12735,12594,12733,65,0.51%,10168,12733,25210,12733,12735,12861,7782,,一般,,
