交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2018/10/01,TX,201810  ,10968,11018,10966,11006,51,0.47%,89433,11006,88440,11005,11006,11113,10571,,一般,,
2018/10/01,TX,201810  ,10943,10955,10922,10948,-7,-0.06%,28786,-,-,10945,10948,11113,10571,,盤後,,
2018/10/01,TX,201811  ,10955,11005,10955,10993,49,0.45%,1759,10994,3911,10993,10994,11087,10565,,一般,,
2018/10/01,TX,201811  ,10942,10943,10911,10935,-9,-0.08%,491,-,-,10932,10935,11087,10565,,盤後,,
2018/10/01,TX,201812  ,10941,10990,10941,10978,47,0.43%,389,10978,4215,10978,10980,11065,9622,,一般,,
2018/10/01,TX,201812  ,10917,10926,10899,10921,-10,-0.09%,172,-,-,10919,10923,11065,9622,,盤後,,
2018/10/01,TX,201903  ,10901,10944,10898,10932,45,0.41%,161,10932,2712,10930,10933,11002,9867,,一般,,
2018/10/01,TX,201903  ,10870,10883,10855,10873,-14,-0.13%,38,-,-,10873,10879,11002,9867,,盤後,,
2018/10/01,TX,201906  ,10850,10895,10850,10886,48,0.44%,88,10886,968,10884,10886,10950,10106,,一般,,
2018/10/01,TX,201906  ,10828,10833,10812,10830,-8,-0.07%,14,-,-,10829,10834,10950,10106,,盤後,,
2018/10/01,TX,201909  ,10455,10499,10455,10490,41,0.39%,49,10490,208,10485,10490,10521,10337,,一般,,
2018/10/01,TX,201909  ,10427,10433,10421,10431,-18,-0.17%,8,-,-,10433,10440,10521,10337,,盤後,,
2018/10/02,TX,201810  ,11006,11011,10873,10879,-127,-1.15%,156457,10879,86852,10878,10879,11113,10571,,一般,,
2018/10/02,TX,201810  ,11008,11022,11002,11011,5,0.05%,13562,-,-,11011,11012,11113,10571,,盤後,,
2018/10/02,TX,201811  ,10994,10995,10866,10868,-126,-1.15%,3706,10869,5108,10868,10869,11087,10565,,一般,,
2018/10/02,TX,201811  ,10999,11008,10990,11002,8,0.07%,424,-,-,10997,11000,11087,10565,,盤後,,
2018/10/02,TX,201812  ,10981,10981,10852,10855,-123,-1.12%,800,10856,4466,10854,10856,11065,9622,,一般,,
2018/10/02,TX,201812  ,10979,10993,10978,10983,5,0.05%,79,-,-,10983,10986,11065,9622,,盤後,,
2018/10/02,TX,201903  ,10935,10935,10810,10810,-122,-1.12%,193,10810,2786,10810,10814,11002,9867,,一般,,
2018/10/02,TX,201903  ,10933,10945,10933,10935,3,0.03%,8,-,-,10935,10939,11002,9867,,盤後,,
2018/10/02,TX,201906  ,10880,10880,10765,10765,-121,-1.11%,143,10765,997,10766,10769,10950,10106,,一般,,
2018/10/02,TX,201906  ,10884,10900,10884,10900,14,0.13%,4,-,-,10889,10893,10950,10106,,盤後,,
2018/10/02,TX,201909  ,10494,10494,10376,10378,-112,-1.07%,60,10378,247,10373,10378,10521,10337,,一般,,
2018/10/02,TX,201909  ,10494,10502,10486,10493,3,0.03%,23,-,-,10493,10499,10521,10337,,盤後,,
2018/10/03,TX,201810  ,10880,10914,10845,10856,-23,-0.21%,136321,10854,84658,10854,10856,11113,10571,,一般,,
