交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2025/06/02,TX,202506  ,20976,21049,20790,20866,-451,-2.12%,66441,20870,99450,20865,20871,24547,17000,,一般,,
2025/06/02,TX,202506  ,21281,21285,20934,21060,-257,-1.21%,56079,-,-,21059,21074,24547,17000,,盤後,,
2025/06/02,TX,202507  ,20652,20739,20496,20578,-433,-2.06%,596,20578,2345,20565,20573,21465,18558,,一般,,
2025/06/02,TX,202507  ,21007,21007,20642,20760,-251,-1.19%,579,-,-,20754,20773,21465,18558,,盤後,,
2025/06/02,TX,202508  ,20508,20508,20375,20388,-445,-2.14%,138,20388,143,20386,20395,21177,20375,,一般,,
2025/06/02,TX,202508  ,20761,20770,20513,20596,-237,-1.14%,11,-,-,20578,20599,21177,20513,,盤後,,
2025/06/02,TX,202509  ,20428,20428,20259,20314,-453,-2.18%,87,20327,1441,20322,20332,23902,16850,,一般,,
2025/06/02,TX,202509  ,20673,20678,20400,20500,-267,-1.29%,45,-,-,20513,20537,23902,16850,,盤後,,
2025/06/02,TX,202512  ,20200,20249,20200,20246,-414,-2.00%,13,20225,478,20220,20231,24048,16873,,一般,,
2025/06/02,TX,202512  ,20590,20590,20300,20445,-215,-1.04%,18,-,-,20411,20433,24048,16873,,盤後,,
2025/06/02,TX,202603  ,20123,20123,20123,20123,-467,-2.27%,1,20149,203,20142,20156,22263,17068,,一般,,
2025/06/02,TX,202603  ,20422,20422,20291,20291,-299,-1.45%,2,-,-,20333,20361,22263,17068,,盤後,,
2025/06/03,TX,202506  ,21034,21221,20955,20971,101,0.48%,64909,20974,94985,20971,20975,24547,17000,,一般,,
2025/06/03,TX,202506  ,20881,21102,20830,21082,212,1.02%,37198,-,-,21074,21083,24547,17000,,盤後,,
2025/06/03,TX,202507  ,20722,20915,20661,20685,107,0.52%,555,20676,2342,20673,20679,21465,18558,,一般,,
2025/06/03,TX,202507  ,20614,20794,20534,20788,210,1.02%,328,-,-,20768,20781,21465,18558,,盤後,,
2025/06/03,TX,202508  ,20553,20730,20500,20505,117,0.57%,13,20505,146,20497,20504,21177,20375,,一般,,
2025/06/03,TX,202508  ,20384,20592,20384,20592,204,1.00%,16,-,-,20587,20601,21177,20375,,盤後,,
2025/06/03,TX,202509  ,20608,20656,20420,20420,93,0.46%,31,20431,1449,20427,20435,23902,16850,,一般,,
2025/06/03,TX,202509  ,20330,20489,20322,20489,162,0.80%,23,-,-,20527,20540,23902,16850,,盤後,,
2025/06/03,TX,202512  ,20561,20561,20353,20353,128,0.63%,7,20330,474,20326,20334,24048,16873,,一般,,
2025/06/03,TX,202512  ,20374,20375,20316,20316,91,0.45%,8,-,-,20425,20438,24048,16873,,盤後,,
2025/06/03,TX,202603  ,20400,20400,20254,20254,105,0.52%,3,20254,202,20251,20264,22263,17068,,一般,,
2025/06/03,TX,202603  ,-,-,-,-,-,-,0,-,-,20351,20365,22263,17068,,盤後,,
2025/06/04,TX,202506  ,21280,21533,21261,21482,508,2.42%,61616,21479,96663,21480,21482,24547,17000,,一般,,
2025/06/04,TX,202506  ,21026,21254,20975,21217,243,1.16%,35014,-,-,21211,21217,24547,17000,,盤後,,
2025/06/04,TX,202507  ,20977,21235,20977,21191,515,2.49%,945,21191,2557,21189,21193,21465,18558,,一般,,
2025/06/04,TX,202507  ,20723,20955,20678,20919,243,1.18%,434,-,-,20912,20921,21465,18558,,盤後,,
2025/06/04,TX,202508  ,20804,21032,20804,21023,518,2.53%,21,21023,148,21010,21018,21177,20375,,一般,,
2025/06/04,TX,202508  ,20554,20770,20525,20770,265,1.29%,33,-,-,20732,20743,21177,20375,,盤後,,
2025/06/04,TX,202509  ,20723,20988,20723,20960,529,2.59%,15,20950,1453,20947,20953,23902,16850,,一般,,
2025/06/04,TX,202509  ,20464,20708,20464,20700,269,1.32%,42,-,-,20668,20678,23902,16850,,盤後,,
2025/06/04,TX,202512  ,20788,20887,20788,20887,557,2.74%,8,20853,474,20850,20857,24048,16873,,一般,,
2025/06/04,TX,202512  ,20344,20411,20344,20411,81,0.40%,11,-,-,20565,20576,24048,16873,,盤後,,
2025/06/04,TX,202603  ,20782,20810,20782,20810,556,2.75%,3,20786,201,20781,20792,22263,17068,,一般,,
2025/06/04,TX,202603  ,-,-,-,-,-,-,0,-,-,20493,20509,22263,17068,,盤後,,
2025/06/05,TX,202506  ,21589,21677,21512,21553,74,0.34%,46482,21554,95433,21552,21558,24547,17000,,一般,,
2025/06/05,TX,202506  ,21496,21597,21453,21548,69,0.32%,32913,-,-,21547,21553,24547,17000,,盤後,,
2025/06/05,TX,202507  ,21298,21380,21217,21260,69,0.33%,818,21260,2976,21253,21260,21465,18558,,一般,,
2025/06/05,TX,202507  ,21202,21301,21168,21263,72,0.34%,522,-,-,21261,21267,21465,18558,,盤後,,
2025/06/05,TX,202508  ,21134,21134,21068,21068,45,0.21%,6,21091,153,21087,21096,21177,20375,,一般,,
2025/06/05,TX,202508  ,21079,21089,21067,21089,66,0.31%,21,-,-,21086,21096,21177,20375,,盤後,,
2025/06/05,TX,202509  ,21050,21114,21018,21024,74,0.35%,16,21024,1448,21027,21034,23902,16850,,一般,,
2025/06/05,TX,202509  ,21005,21060,20970,21060,110,0.53%,20,-,-,21026,21037,23902,16850,,盤後,,
2025/06/05,TX,202512  ,20987,20987,20906,20915,62,0.30%,8,20931,474,20927,20935,24048,16873,,一般,,
2025/06/05,TX,202512  ,20856,20938,20856,20880,27,0.13%,11,-,-,20931,20945,24048,16873,,盤後,,
