交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2025/05/02,TX,202505  ,20488,20710,20469,20677,523,2.60%,61777,20682,78333,20677,20678,23821,17011,,一般,,
2025/05/02,TX,202505  ,20183,20438,19921,20430,276,1.37%,71430,-,-,20430,20432,23821,17011,,盤後,,
2025/05/02,TX,202506  ,20370,20618,20370,20583,508,2.53%,553,20583,2234,20584,20587,24547,17000,,一般,,
2025/05/02,TX,202506  ,20100,20332,19850,20326,251,1.25%,781,-,-,20335,20340,24547,17000,,盤後,,
2025/05/02,TX,202507  ,20125,20348,20125,20348,517,2.61%,25,20315,87,20313,20318,20348,18558,,一般,,
2025/05/02,TX,202507  ,19886,20000,19620,20000,169,0.85%,30,-,-,20065,20089,20000,18558,,盤後,,
2025/05/02,TX,202509  ,20034,20200,20034,20200,495,2.51%,30,20186,1051,20183,20189,23902,16850,,一般,,
2025/05/02,TX,202509  ,19600,19938,19600,19938,233,1.18%,2,-,-,19956,19979,23902,16850,,盤後,,
2025/05/02,TX,202512  ,20026,20147,20009,20146,457,2.32%,10,20146,445,20134,20142,24048,16873,,一般,,
2025/05/02,TX,202512  ,19718,19738,19480,19618,-71,-0.36%,15,-,-,19913,19956,24048,16873,,盤後,,
2025/05/02,TX,202603  ,20003,20139,20000,20130,450,2.29%,8,20130,182,20128,20136,22263,17068,,一般,,
2025/05/02,TX,202603  ,19712,19803,19500,19803,123,0.63%,9,-,-,19903,19951,22263,17068,,盤後,,
2025/05/05,TX,202505  ,20757,20796,20206,20404,-278,-1.34%,97067,20423,78398,20402,20409,23821,17011,,一般,,
2025/05/05,TX,202505  ,20652,20900,20624,20840,158,0.76%,52582,-,-,20831,20842,23821,17011,,盤後,,
2025/05/05,TX,202506  ,20681,20708,20114,20295,-288,-1.40%,1527,20309,3044,20295,20304,24547,17000,,一般,,
2025/05/05,TX,202506  ,20561,20813,20535,20746,163,0.79%,890,-,-,20742,20757,24547,17000,,盤後,,
2025/05/05,TX,202507  ,20406,20435,19888,20041,-274,-1.35%,48,20041,102,20035,20047,20505,18558,,一般,,
2025/05/05,TX,202507  ,20315,20505,20268,20485,170,0.84%,14,-,-,20468,20483,20505,18558,,盤後,,
2025/05/05,TX,202509  ,20290,20290,19800,19954,-232,-1.15%,32,19919,1045,19913,19925,23902,16850,,一般,,
2025/05/05,TX,202509  ,20179,20389,20179,20336,150,0.74%,14,-,-,20345,20366,23902,16850,,盤後,,
2025/05/05,TX,202512  ,20220,20220,19839,19955,-191,-0.95%,9,19878,449,19871,19885,24048,16873,,一般,,
2025/05/05,TX,202512  ,20195,20331,20195,20292,146,0.72%,13,-,-,20297,20322,24048,16873,,盤後,,
2025/05/05,TX,202603  ,19970,19970,19830,19922,-208,-1.03%,5,19880,182,19861,19880,22263,17068,,一般,,
2025/05/05,TX,202603  ,20130,20130,20130,20130,0,0.00%,1,-,-,20285,20318,22263,17068,,盤後,,
2025/05/06,TX,202505  ,20150,20483,20150,20337,-86,-0.42%,69754,20345,82061,20337,20342,23821,17011,,一般,,
2025/05/06,TX,202505  ,20424,20440,20139,20198,-225,-1.10%,51234,-,-,20197,20204,23821,17011,,盤後,,
2025/05/06,TX,202506  ,20037,20333,20037,20206,-103,-0.51%,946,20196,3429,20193,20200,24547,17000,,一般,,
2025/05/06,TX,202506  ,20306,20320,20034,20101,-208,-1.02%,547,-,-,20090,20101,24547,17000,,盤後,,
2025/05/06,TX,202507  ,19780,20041,19780,19910,-131,-0.65%,27,19910,115,19911,19920,20505,18558,,一般,,
