交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2022/11/01,TX,202211  ,12960,13095,12934,13031,88,0.68%,91434,13033,73899,13031,13034,15347,12644,,一般,,
2022/11/01,TX,202211  ,12933,12946,12858,12906,-37,-0.29%,45389,-,-,12906,12908,15347,12644,,盤後,,
2022/11/01,TX,202212  ,12920,13065,12909,13007,92,0.71%,1651,13005,5206,13002,13007,17888,12617,,一般,,
2022/11/01,TX,202212  ,12911,12917,12833,12881,-34,-0.26%,505,-,-,12880,12883,17888,12617,,盤後,,
2022/11/01,TX,202301  ,12921,13042,12904,12995,89,0.69%,103,12995,342,12991,12997,13082,12631,,一般,,
2022/11/01,TX,202301  ,12877,12900,12832,12870,-36,-0.28%,65,-,-,12869,12872,13082,12631,,盤後,,
2022/11/01,TX,202303  ,12877,13010,12865,12950,83,0.65%,57,12950,870,12948,12954,17000,12563,,一般,,
2022/11/01,TX,202303  ,12810,12840,12788,12829,-38,-0.30%,19,-,-,12826,12833,17000,12563,,盤後,,
2022/11/01,TX,202306  ,12859,12935,12859,12933,135,1.05%,15,12882,513,12879,12885,15417,12496,,一般,,
2022/11/01,TX,202306  ,12757,12795,12750,12759,-39,-0.30%,18,-,-,12758,12765,15417,12496,,盤後,,
2022/11/01,TX,202309  ,12385,12444,12385,12407,90,0.73%,39,12407,179,12396,12403,13904,11969,,一般,,
2022/11/01,TX,202309  ,12277,12298,12275,12275,-42,-0.34%,3,-,-,12274,12282,13904,11969,,盤後,,
2022/11/02,TX,202211  ,13033,13103,13015,13083,50,0.38%,66189,13084,71908,13083,13085,15347,12644,,一般,,
2022/11/02,TX,202211  ,13055,13107,12991,13006,-27,-0.21%,63287,-,-,13007,13014,15347,12644,,盤後,,
2022/11/02,TX,202212  ,13007,13070,12989,13054,49,0.38%,1265,13055,5400,13053,13056,17888,12617,,一般,,
2022/11/02,TX,202212  ,13021,13077,12963,12985,-20,-0.15%,774,-,-,12978,12988,17888,12617,,盤後,,
2022/11/02,TX,202301  ,13005,13052,12982,13040,45,0.35%,66,13040,353,13040,13044,13082,12631,,一般,,
2022/11/02,TX,202301  ,13002,13048,12958,12970,-25,-0.19%,49,-,-,12968,12978,13082,12631,,盤後,,
2022/11/02,TX,202303  ,12955,13010,12954,13001,51,0.39%,30,13001,857,12996,13002,17000,12563,,一般,,
2022/11/02,TX,202303  ,12960,13020,12917,12950,0,0.00%,54,-,-,12924,12935,17000,12563,,盤後,,
2022/11/02,TX,202306  ,12888,12935,12877,12935,53,0.41%,9,12935,526,12929,12934,15417,12496,,一般,,
2022/11/02,TX,202306  ,12896,12950,12860,12868,-14,-0.11%,28,-,-,12854,12865,15417,12496,,盤後,,
2022/11/02,TX,202309  ,12447,12447,12447,12447,40,0.32%,1,12447,181,12439,12447,13904,11969,,一般,,
2022/11/02,TX,202309  ,12432,12454,12368,12368,-39,-0.31%,11,-,-,12373,12386,13904,11969,,盤後,,
2022/11/03,TX,202211  ,12883,12983,12854,12958,-126,-0.96%,74133,12957,70846,12957,12958,15347,12644,,一般,,
2022/11/03,TX,202211  ,13072,13140,12860,12895,-189,-1.44%,84265,-,-,12893,12895,15347,12644,,盤後,,
2022/11/03,TX,202212  ,12855,12951,12828,12926,-129,-0.99%,1300,12926,5654,12927,12930,17888,12617,,一般,,
2022/11/03,TX,202212  ,13045,13109,12833,12863,-192,-1.47%,915,-,-,12864,12868,17888,12617,,盤後,,
2022/11/03,TX,202301  ,12819,12933,12818,12924,-116,-0.89%,56,12916,340,12915,12918,13089,12631,,一般,,
2022/11/03,TX,202301  ,13037,13089,12827,12834,-206,-1.58%,38,-,-,12851,12856,13089,12631,,盤後,,
2022/11/03,TX,202303  ,12799,12892,12776,12878,-123,-0.95%,45,12878,859,12874,12877,17000,12563,,一般,,
2022/11/03,TX,202303  ,12999,13054,12780,12799,-202,-1.55%,68,-,-,12810,12817,17000,12563,,盤後,,
2022/11/03,TX,202306  ,12721,12814,12721,12806,-129,-1.00%,28,12806,509,12806,12810,15417,12496,,一般,,
2022/11/03,TX,202306  ,12924,12981,12721,12721,-214,-1.65%,24,-,-,12737,12744,15417,12496,,盤後,,
2022/11/03,TX,202309  ,12245,12328,12240,12328,-119,-0.96%,11,12328,182,12316,12323,13904,11969,,一般,,
2022/11/03,TX,202309  ,12427,12448,12227,12238,-209,-1.68%,19,-,-,12249,12262,13904,11969,,盤後,,
2022/11/04,TX,202211  ,12880,13039,12850,13030,73,0.56%,82593,13029,72258,13030,13031,15347,12644,,一般,,
2022/11/04,TX,202211  ,12942,12948,12819,12893,-64,-0.49%,66549,-,-,12893,12896,15347,12644,,盤後,,
2022/11/04,TX,202212  ,12859,13005,12824,13000,74,0.57%,2023,12999,6053,12999,13000,17888,12617,,一般,,
2022/11/04,TX,202212  ,12914,12917,12794,12868,-58,-0.45%,948,-,-,12863,12868,17888,12617,,盤後,,
2022/11/04,TX,202301  ,12860,12986,12825,12985,69,0.53%,70,12985,388,12987,12989,13089,12631,,一般,,
2022/11/04,TX,202301  ,12899,12899,12790,12893,-23,-0.18%,83,-,-,12851,12857,13089,12631,,盤後,,
2022/11/04,TX,202303  ,12805,12950,12780,12938,60,0.47%,51,12946,862,12945,12947,17000,12563,,一般,,
2022/11/04,TX,202303  ,12855,12858,12750,12825,-53,-0.41%,27,-,-,12809,12816,17000,12563,,盤後,,
2022/11/04,TX,202306  ,12729,12814,12725,12797,-9,-0.07%,19,12880,506,12878,12882,15417,12496,,一般,,
2022/11/04,TX,202306  ,12790,12790,12673,12764,-42,-0.33%,25,-,-,12743,12749,15417,12496,,盤後,,
2022/11/04,TX,202309  ,12233,12392,12233,12392,64,0.52%,12,12392,190,12389,12396,13904,11969,,一般,,
2022/11/04,TX,202309  ,12308,12308,12202,12260,-68,-0.55%,12,-,-,12256,12265,13904,11969,,盤後,,
2022/11/07,TX,202211  ,13156,13265,13096,13224,195,1.50%,95613,13225,73444,13224,13225,15347,12644,,一般,,
